------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yy at 100 Hz  Filter Normal -----------
Serial Number: TAS1F27170051
Start Time 11:08:00
Start Date 7/23/18
Epoch Period (hh:mm:ss) 00:00:00
Download Time 11:09:15
Download Date 7/23/18
Current Memory Address: 0
Current Battery Voltage: 4.18     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
-0.043,0.004,1.027
-0.023,-0.008,1.035
-0.02,-0.016,1.031
-0.016,-0.016,1.035
-0.012,-0.012,1.035
-0.008,-0.008,1.031
-0.008,-0.008,1.031
-0.012,-0.004,1.031
-0.016,0,1.031
-0.012,-0.004,1.039
-0.016,-0.008,1.035
-0.012,-0.012,1.035
-0.012,-0.004,1.031
-0.016,-0.004,1.035
-0.02,-0.012,1.035
-0.02,-0.008,1.035
-0.016,-0.008,1.039
-0.016,-0.008,1.035
-0.016,-0.008,1.027
-0.012,-0.008,1.023
-0.016,-0.012,1.023
-0.012,-0.012,1.027
-0.012,-0.012,1.035
-0.012,-0.016,1.039
-0.012,-0.012,1.035
-0.016,-0.008,1.035
-0.016,-0.008,1.039
-0.02,-0.008,1.035
-0.012,-0.012,1.035
-0.008,-0.008,1.031
-0.012,-0.004,1.027
-0.012,-0.008,1.031
-0.012,-0.008,1.035
-0.012,-0.008,1.031
-0.016,-0.012,1.031
-0.012,-0.008,1.031
-0.012,-0.008,1.035
-0.012,-0.008,1.035
-0.012,-0.004,1.031
-0.012,-0.004,1.027
-0.012,-0.012,1.031
-0.012,-0.012,1.035
-0.012,-0.012,1.039
-0.008,-0.008,1.031
-0.012,-0.008,1.031
-0.016,-0.008,1.031
-0.008,-0.012,1.035
-0.004,-0.004,1.031
-0.016,-0.004,1.031
-0.012,-0.004,1.031
-0.02,-0.004,1.031
-0.012,-0.012,1.031
-0.016,-0.008,1.031
-0.016,-0.004,1.031
-0.012,-0.008,1.035
-0.016,-0.012,1.039
-0.016,-0.008,1.039
-0.016,-0.008,1.031
-0.02,-0.008,1.031
-0.02,-0.016,1.031
-0.012,-0.016,1.031
-0.012,-0.008,1.035
-0.012,-0.008,1.031
-0.012,-0.008,1.035
-0.012,-0.012,1.035
-0.012,-0.008,1.035
-0.016,-0.004,1.031
-0.012,-0.004,1.035
-0.008,-0.004,1.035
-0.012,-0.008,1.039
-0.008,-0.008,1.039
-0.012,-0.012,1.035
-0.012,-0.004,1.035
-0.02,-0.008,1.031
-0.023,-0.008,1.035
-0.02,-0.008,1.035
-0.012,-0.012,1.035
-0.008,-0.016,1.035
-0.012,-0.012,1.035
-0.02,-0.008,1.031
-0.02,-0.008,1.035
-0.012,-0.012,1.031
-0.016,-0.008,1.031
-0.012,-0.004,1.031
-0.012,-0.004,1.031
-0.012,-0.008,1.027
-0.012,-0.004,1.031
-0.016,-0.004,1.027
-0.012,-0.004,1.031
-0.02,-0.008,1.031
-0.02,-0.012,1.027
-0.016,-0.008,1.035
-0.012,-0.004,1.031
-0.012,-0.004,1.031
-0.016,-0.004,1.027
-0.012,-0.004,1.031
-0.012,-0.004,1.035
-0.016,-0.004,1.035
-0.012,-0.004,1.039
-0.012,-0.012,1.031
-0.023,-0.004,1.031
-0.02,-0.008,1.027
-0.023,-0.012,1.027
-0.02,-0.016,1.031
-0.016,-0.012,1.035
-0.012,-0.012,1.031
-0.012,-0.016,1.031
-0.016,-0.012,1.027
-0.012,-0.012,1.027
-0.016,-0.008,1.031
-0.02,-0.012,1.035
-0.016,-0.008,1.031
-0.012,-0.004,1.035
-0.012,-0.008,1.039
-0.008,-0.012,1.035
-0.008,-0.016,1.039
0.016,-0.012,1.031
0.172,-0.039,1.035
0.09,-0.051,1.027
-0.047,0.051,1.027
-0.16,0.008,1.031
-0.109,-0.016,1.035
-0.055,-0.004,1.035
-0.039,0,1.035
-0.016,-0.02,1.035
-0.012,-0.008,1.027
-0.043,0.047,1.027
0,-0.043,1.035
0.004,-0.02,1.035
-0.004,-0.012,1.039
-0.055,-0.016,1.035
-0.164,-0.023,1.035
-0.219,-0.016,1.039
-0.266,-0.004,1.039
-0.258,-0.02,1.02
-0.066,-0.004,1.027
0.004,0.012,1.035
-0.027,-0.012,1.031
-0.137,-0.02,1.027
-0.176,-0.023,1.023
-0.109,-0.035,1.051
-0.105,-0.023,1.047
-0.176,-0.02,1.031
-0.176,-0.004,1.035
-0.102,0.016,1.027
-0.113,0.02,1.035
-0.207,0.008,1.047
-0.102,0.02,1.066
-0.18,0.004,1.055
-0.148,-0.016,1.051
-0.172,-0.012,1.055
-0.043,-0.027,0.996
0.086,-0.004,1.027
0.02,-0.055,1.066
-0.074,-0.051,1.063
-0.121,-0.078,1.051
-0.184,-0.109,1.066
-0.152,-0.121,1.094
-0.137,-0.094,1.082
-0.094,-0.047,1.078
-0.281,-0.16,1.07
-0.063,-0.004,1.055
0.004,0.055,1.055
-0.023,0.023,1.047
-0.055,-0.039,1.047
-0.051,-0.023,1.043
-0.094,0.004,1.051
-0.184,-0.086,1.059
-0.102,-0.086,1.055
0.043,0.023,1.051
-0.027,-0.047,1.043
-0.039,-0.023,1.031
-0.031,-0.02,1.039
-0.074,-0.051,1.055
-0.059,-0.035,1.063
0.016,-0.008,1.023
-0.086,0.016,1.035
-0.141,-0.027,1.07
-0.004,0.074,1.035
-0.059,-0.023,1.031
-0.039,0,1.051
0.02,0.043,1.051
0.027,0.035,1.031
0.035,-0.051,1.133
-0.023,-0.109,1.086
0.059,0.031,1.039
-0.008,-0.012,1.035
-0.039,-0.078,1.031
-0.105,-0.082,1.047
0.012,0.047,0.984
0.098,0.055,1.008
0.039,-0.039,1.035
0.031,-0.082,1.043
0.105,-0.012,1.043
0.188,0.02,1.051
0.156,0,1.07
0.086,0.008,1.074
-0.004,-0.016,1.059
0.027,0.023,1.047
0.051,0.02,1.035
0.07,-0.016,1.051
0.016,-0.066,1.059
0.082,-0.043,1.039
0.203,0.059,1.027
0.117,0.027,1.039
0.043,0.07,1.02
0.078,0.047,1.043
0.059,-0.016,1.047
0.051,-0.012,1.043
0,-0.055,1.063
0.023,-0.027,1.059
0.109,0.039,1.039
0.07,0.027,1.027
0.102,0.098,1.004
0.078,0.066,1.027
0.035,0.008,1.039
0.012,-0.008,1.047
-0.043,-0.051,1.051
-0.016,-0.07,1.055
0.055,0.004,1.035
0.09,0,1.035
0.125,0.023,1.027
0.07,-0.012,1.027
-0.02,-0.008,1.023
-0.027,-0.008,1.039
-0.031,-0.02,1.031
-0.004,-0.012,1.035
0.008,-0.004,1.039
0.066,0.012,1.035
0.102,0.008,1.031
0.078,-0.004,1.031
0.152,-0.008,1.035
0.145,-0.02,1.043
-0.027,-0.016,1.035
-0.074,-0.004,1.035
-0.137,-0.027,1.035
-0.102,-0.016,1.039
-0.074,-0.035,1.043
0.105,0.012,1.043
0.23,0.027,1.043
0.219,0.027,1.035
0.145,0.012,1.035
0.117,0,1.027
0.078,-0.008,1.035
0.066,-0.012,1.031
0.043,-0.004,1.035
0.09,0,1.035
0.074,0,1.031
0.027,-0.004,1.023
