------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yy Filter Normal -----------
Serial Number: TAS1F27170051
Start Time 10:40:00
Start Date 7/20/18
Epoch Period (hh:mm:ss) 00:00:01
Download Time 10:44:21
Download Date 7/20/18
Current Memory Address: 0
Current Battery Voltage: 4.18     Mode = 12
--------------------------------------------------
Axis1,Axis2,Axis3
0,0,0
3,0,0
23,44,0
51,65,0
69,55,8
38,47,0
41,52,0
34,66,1
42,60,0
53,55,0
55,53,2
49,49,8
47,58,0
43,57,5
42,60,5
36,66,3
53,107,24
45,70,20
19,104,32
5,25,0
30,94,11
28,36,0
48,102,16
23,40,9
16,95,14
25,31,0
13,92,8
50,65,28
4,85,18
32,51,20
55,74,49
48,64,33
57,75,32
40,60,40
51,78,36
28,41,23
54,105,34
26,54,15
31,68,30
52,61,64
42,100,66
67,121,121
58,102,91
64,72,81
30,76,72
52,106,132
45,115,84
34,89,77
8,92,50
10,73,39
18,78,59
45,79,73
27,81,50
31,52,36
18,47,43
20,46,26
35,54,42
26,37,43
22,69,39
15,56,45
43,125,106
184,60,229
199,69,183
166,79,281
127,96,136
184,78,241
131,86,163
161,87,249
200,70,200
191,86,240
174,100,193
182,99,243
170,87,224
211,78,284
172,87,208
221,96,207
203,95,192
182,82,220
223,103,193
183,81,178
169,101,196
215,85,229
205,111,214
216,59,233
221,75,201
233,70,187
232,104,226
205,112,187
151,100,275
184,111,187
148,87,277
197,82,198
192,92,256
195,79,184
183,85,239
208,76,197
196,82,265
199,75,188
161,85,265
204,71,180
163,81,306
176,60,211
182,62,281
160,59,202
162,71,259
154,74,192
190,83,269
181,61,212
219,81,284
216,63,162
313,92,171
191,79,183
213,86,253
205,56,193
203,112,248
142,59,257
143,53,254
186,76,238
184,75,243
206,83,227
233,81,212
182,83,208
100,84,90
57,158,47
37,133,42
58,105,27
32,122,46
62,118,23
48,187,21
53,103,14
6,152,27
49,140,15
11,148,36
43,141,2
28,184,0
54,134,0
10,171,0
25,139,0
7,138,10
49,62,6
20,102,3
52,97,29
22,74,33
32,78,22
36,67,17
55,93,33
40,143,38
52,113,4
37,111,13
49,121,19
52,130,28
33,117,25
50,94,17
36,91,11
38,95,9
38,98,22
15,75,21
44,96,25
41,89,13
52,93,83
6,85,146
152,105,304
68,103,60
11,62,50
85,83,28
15,106,25
50,94,20
49,92,35
29,95,18
38,107,27
57,98,16
49,103,36
57,139,45
20,100,27
49,110,54
54,116,17
39,116,16
45,108,10
53,101,21
46,79,17
