------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yy at 100 Hz  Filter Normal -----------
Serial Number: TAS1F27170051
Start Time 10:40:00
Start Date 7/20/18
Epoch Period (hh:mm:ss) 00:00:00
Download Time 10:44:21
Download Date 7/20/18
Current Memory Address: 0
Current Battery Voltage: 4.18     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
-0.141,0.074,1.012
-0.121,0.074,1.012
-0.105,0.074,1.016
-0.102,0.074,1.02
-0.105,0.066,1.02
-0.109,0.066,1.023
-0.109,0.066,1.02
-0.105,0.07,1.016
-0.102,0.07,1.02
-0.102,0.066,1.02
-0.102,0.066,1.016
-0.098,0.074,1.016
-0.098,0.078,1.016
-0.094,0.07,1.02
-0.102,0.063,1.02
-0.094,0.066,1.023
-0.094,0.07,1.023
-0.102,0.074,1.02
-0.105,0.078,1.016
-0.105,0.074,1.02
-0.105,0.074,1.02
-0.105,0.078,1.016
-0.105,0.074,1.016
-0.109,0.074,1.02
-0.109,0.07,1.023
-0.109,0.066,1.016
-0.105,0.07,1.02
-0.098,0.074,1.016
-0.098,0.078,1.016
-0.102,0.074,1.016
-0.102,0.074,1.016
-0.102,0.074,1.02
-0.105,0.066,1.023
-0.105,0.063,1.023
-0.105,0.066,1.02
-0.102,0.07,1.016
-0.098,0.066,1.016
-0.102,0.059,1.016
-0.105,0.063,1.012
-0.098,0.07,1.012
-0.094,0.074,1.016
-0.098,0.074,1.02
-0.102,0.066,1.023
-0.098,0.063,1.023
-0.098,0.07,1.02
-0.102,0.07,1.023
-0.102,0.07,1.02
-0.102,0.07,1.016
-0.098,0.074,1.016
-0.098,0.074,1.02
-0.113,0.078,1.016
-0.102,0.07,1.023
-0.102,0.066,1.027
-0.105,0.07,1.027
-0.105,0.074,1.02
-0.105,0.074,1.016
-0.105,0.078,1.016
-0.105,0.074,1.012
-0.098,0.074,1.012
-0.102,0.074,1.016
-0.098,0.07,1.02
-0.102,0.07,1.027
-0.102,0.066,1.027
-0.102,0.066,1.023
-0.098,0.07,1.016
-0.098,0.074,1.012
-0.094,0.078,1.012
-0.098,0.074,1.016
-0.098,0.07,1.016
-0.098,0.074,1.02
-0.098,0.07,1.016
-0.098,0.07,1.016
-0.098,0.07,1.016
-0.105,0.07,1.016
-0.105,0.074,1.023
-0.105,0.066,1.027
-0.105,0.074,1.016
-0.105,0.074,1.012
-0.105,0.078,1.012
-0.105,0.078,1.016
-0.102,0.078,1.023
-0.094,0.074,1.027
-0.098,0.074,1.02
-0.102,0.066,1.016
-0.094,0.07,1.012
-0.094,0.066,1.012
-0.098,0.066,1.012
-0.098,0.074,1.012
-0.094,0.078,1.012
-0.094,0.074,1.016
-0.098,0.078,1.023
-0.102,0.078,1.031
-0.105,0.074,1.031
-0.105,0.074,1.035
-0.105,0.07,1.039
-0.105,0.07,1.035
-0.105,0.07,1.027
-0.102,0.078,1.023
-0.098,0.078,1.02
-0.094,0.078,1.016
-0.102,0.078,1.012
-0.094,0.074,1.008
-0.098,0.074,1.012
-0.098,0.074,1.016
-0.094,0.07,1.016
-0.094,0.066,1.016
-0.094,0.063,1.016
-0.094,0.066,1.012
-0.094,0.074,1.008
-0.094,0.074,1.008
-0.094,0.078,1.016
-0.098,0.078,1.02
-0.094,0.074,1.031
-0.09,0.07,1.035
-0.098,0.074,1.02
-0.105,0.078,1.008
-0.098,0.082,1.004
-0.094,0.082,1.008
-0.098,0.074,1.012
-0.105,0.07,1.023
-0.105,0.066,1.031
-0.105,0.059,1.039
-0.105,0.066,1.039
-0.105,0.07,1.043
-0.109,0.066,1.043
-0.102,0.066,1.035
-0.098,0.074,1.027
-0.098,0.074,1.023
-0.098,0.07,1.016
-0.094,0.07,1.016
-0.098,0.07,1.012
-0.094,0.074,1.016
-0.094,0.078,1.02
-0.094,0.074,1.027
-0.094,0.07,1.027
-0.094,0.063,1.027
-0.094,0.063,1.027
-0.094,0.066,1.027
-0.098,0.07,1.02
-0.098,0.078,1.012
-0.098,0.082,1.012
-0.094,0.082,1.016
-0.094,0.078,1.02
-0.094,0.07,1.023
-0.094,0.063,1.027
-0.094,0.063,1.023
-0.094,0.074,1.02
-0.098,0.078,1.016
-0.094,0.078,1.016
-0.098,0.078,1.016
-0.105,0.078,1.012
-0.094,0.066,1.023
-0.094,0.063,1.02
-0.094,0.063,1.023
-0.094,0.07,1.02
-0.094,0.074,1.016
-0.094,0.078,1.012
-0.09,0.074,1.012
-0.09,0.066,1.012
-0.09,0.07,1.008
-0.094,0.078,1.016
-0.094,0.074,1.02
-0.098,0.074,1.02
-0.098,0.078,1.023
-0.098,0.078,1.02
-0.098,0.078,1.02
-0.102,0.078,1.023
-0.102,0.078,1.023
-0.098,0.078,1.027
-0.102,0.094,1.039
-0.094,0.105,1.063
-0.07,0.102,1.094
-0.055,0.098,1.094
-0.082,0.102,1.059
-0.137,0.105,0.988
-0.195,0.102,0.949
-0.168,0.125,0.902
-0.117,0.141,0.871
-0.102,0.164,0.883
-0.094,0.316,0.902
-0.027,0.449,0.922
-0.004,0.398,0.973
-0.055,0.309,1.051
-0.117,0.191,1.066
-0.18,0.098,1.094
-0.207,0.203,1.07
-0.191,0.355,1.059
-0.152,0.398,1.066
-0.156,0.336,1.086
-0.203,0.254,1.102
-0.246,0.203,1.09
-0.254,0.188,1.078
-0.234,0.152,1.07
-0.219,0.102,1.059
-0.211,0.063,1.043
-0.195,0.027,1.039
-0.172,0.008,1.043
-0.156,0.027,1.035
-0.145,0.063,1.023
-0.133,0.09,1.02
-0.141,0.105,1.02
-0.133,0.102,1.012
-0.117,0.102,1.012
-0.098,0.105,1.027
-0.07,0.113,1.031
-0.051,0.129,1.02
-0.035,0.125,1.02
-0.035,0.105,1
-0.047,0.09,0.988
-0.07,0.07,0.977
-0.086,0.066,0.969
-0.09,0.055,0.969
-0.074,0.055,0.977
-0.039,0.059,0.984
0,0.074,0.992
0.039,0.074,1
0.059,0.047,1.004
0.074,0.02,1
0.078,0.008,0.992
0.07,0.02,0.98
0.074,0.047,0.969
0.086,0.07,0.957
0.098,0.082,0.953
0.113,0.078,0.961
0.121,0.051,0.969
0.109,0.016,0.977
0.102,-0.02,0.977
0.094,-0.039,0.98
0.098,-0.047,0.996
0.109,-0.031,1.004
0.129,-0.008,1.004
0.148,-0.004,1.012
0.156,0.004,1.02
0.176,-0.012,1.039
0.184,-0.039,1.055
0.184,-0.066,1.063
0.191,-0.078,1.063
0.207,-0.082,1.059
0.219,-0.07,1.051
0.223,-0.055,1.055
0.219,-0.047,1.07
0.227,-0.047,1.074
0.242,-0.055,1.082
0.262,-0.074,1.078
0.277,-0.094,1.078
0.277,-0.105,1.074
0.266,-0.109,1.059
0.242,-0.094,1.039
0.219,-0.082,1.027
0.223,-0.086,1.027
0.199,-0.09,1.035
0.215,-0.063,1.027
0.219,-0.02,1
0.215,-0.004,1.004
0.188,-0.016,1.035
0.172,-0.031,1.07
0.184,-0.043,1.105
0.199,-0.039,1.121
0.211,-0.039,1.125
0.219,-0.047,1.121
0.223,-0.051,1.105
0.219,-0.027,1.086
0.238,0.023,1.055
0.254,0.074,1.02
0.254,0.094,0.996
0.223,0.074,0.988
0.18,0.035,0.988
0.141,0.027,1.004
0.117,0.043,1.023
0.129,0.07,1.023
0.137,0.102,1.023
0.137,0.125,1.008
0.125,0.137,0.988
0.113,0.129,0.98
0.109,0.094,0.996
0.102,0.035,1.016
0.102,-0.008,1.035
0.105,-0.012,1.039
0.117,0.02,1.031
0.117,0.063,1.02
0.094,0.082,1.016
0.066,0.078,1.016
0.031,0.063,1.016
0.016,0.066,1.02
0.016,0.074,1.012
0.031,0.082,1.004
0.051,0.09,1.004
0.063,0.094,1.008
0.066,0.09,1.02
0.051,0.074,1.035
0.043,0.063,1.047
0.031,0.082,1.027
0.02,0.137,0.988
0.008,0.199,0.941
-0.008,0.242,0.91
-0.02,0.281,0.926
-0.023,0.281,0.945
-0.023,0.238,0.977
-0.035,0.18,1.016
-0.055,0.16,1.035
-0.098,0.164,1.043
-0.121,0.184,1.023
-0.16,0.199,1.016
-0.188,0.219,1.004
-0.199,0.25,0.992
-0.195,0.27,0.988
-0.191,0.273,0.988
-0.18,0.27,1
-0.176,0.262,1.008
-0.184,0.266,1.008
-0.203,0.277,1.008
-0.211,0.297,1.004
-0.215,0.309,1
-0.219,0.313,0.98
-0.223,0.316,0.953
-0.223,0.324,0.938
-0.223,0.336,0.93
-0.219,0.34,0.926
-0.203,0.332,0.934
-0.195,0.316,0.941
-0.188,0.32,0.941
-0.184,0.336,0.938
-0.188,0.348,0.922
-0.195,0.367,0.926
-0.195,0.371,0.922
-0.199,0.375,0.922
-0.199,0.375,0.934
-0.195,0.379,0.949
-0.191,0.391,0.953
-0.188,0.402,0.965
-0.172,0.41,0.969
-0.156,0.414,0.973
-0.148,0.406,0.977
-0.148,0.383,0.98
-0.152,0.363,0.98
-0.16,0.352,0.961
-0.168,0.348,0.949
-0.18,0.348,0.941
-0.172,0.352,0.93
-0.164,0.352,0.922
-0.156,0.359,0.926
-0.164,0.363,0.922
-0.176,0.367,0.922
-0.191,0.375,0.914
-0.199,0.375,0.914
-0.191,0.375,0.914
-0.188,0.367,0.922
-0.188,0.355,0.926
-0.184,0.352,0.93
-0.176,0.352,0.926
-0.18,0.348,0.918
-0.184,0.336,0.914
-0.188,0.34,0.91
-0.18,0.348,0.926
-0.176,0.336,0.938
-0.188,0.313,0.945
-0.195,0.316,0.941
-0.188,0.344,0.941
-0.172,0.379,0.945
-0.156,0.402,0.953
-0.145,0.402,0.961
-0.152,0.402,0.961
-0.168,0.41,0.957
-0.168,0.418,0.957
-0.164,0.402,0.957
-0.168,0.371,0.957
-0.188,0.352,0.945
-0.207,0.359,0.941
-0.207,0.391,0.941
-0.184,0.434,0.945
-0.164,0.461,0.949
-0.16,0.473,0.941
-0.176,0.473,0.93
-0.199,0.445,0.918
-0.215,0.426,0.906
-0.227,0.402,0.898
-0.23,0.387,0.898
-0.234,0.391,0.895
-0.23,0.402,0.895
-0.227,0.41,0.902
-0.223,0.414,0.906
-0.223,0.406,0.902
-0.219,0.402,0.914
-0.203,0.379,0.953
-0.172,0.32,0.984
-0.164,0.258,1.008
-0.188,0.215,1.012
-0.223,0.203,1
-0.234,0.23,0.973
-0.234,0.266,0.941
-0.234,0.305,0.914
-0.234,0.34,0.898
-0.234,0.371,0.891
-0.223,0.383,0.883
-0.211,0.379,0.879
-0.199,0.379,0.883
-0.188,0.383,0.887
-0.184,0.391,0.906
-0.18,0.406,0.934
-0.184,0.406,0.961
-0.188,0.387,0.992
-0.16,0.352,1.02
-0.133,0.313,1.047
-0.109,0.273,1.043
-0.098,0.227,1.027
-0.113,0.191,1.004
-0.141,0.164,0.98
-0.168,0.148,0.961
-0.18,0.133,0.957
-0.172,0.113,0.961
-0.152,0.098,0.969
-0.133,0.082,0.984
-0.129,0.082,1.008
-0.129,0.094,1.016
-0.109,0.113,1.027
-0.078,0.133,1.031
-0.055,0.137,1.039
-0.055,0.137,1.043
-0.059,0.113,1.059
-0.043,0.078,1.07
-0.035,0.066,1.082
-0.027,0.09,1.082
-0.02,0.121,1.074
-0.004,0.129,1.066
-0.004,0.141,1.055
-0.016,0.164,1.027
-0.02,0.199,1
-0.023,0.184,0.988
-0.031,0.141,0.988
-0.055,0.098,0.996
-0.047,0.094,1.008
-0.004,0.105,1.027
0.035,0.129,1.035
0.055,0.16,1.027
0.063,0.168,1.02
0.055,0.148,1.027
0.047,0.125,1.02
0.043,0.117,1.012
0.039,0.117,1.008
0.043,0.117,1.004
0.051,0.113,1.008
0.055,0.117,1.016
0.059,0.129,1.016
0.066,0.148,1.016
0.07,0.148,1.027
0.07,0.117,1.031
0.055,0.07,1.047
0.051,0.035,1.051
0.059,0.02,1.055
0.066,0.031,1.043
0.063,0.059,1.035
0.066,0.07,1.039
0.07,0.07,1.027
0.09,0.059,1.027
0.09,0.035,1.02
0.09,0.027,1.02
0.098,0.035,1.016
0.117,0.051,1.023
0.125,0.047,1.027
0.121,0.043,1.035
0.125,0.039,1.035
0.133,0.043,1.039
0.152,0.051,1.039
0.172,0.051,1.035
0.188,0.047,1.039
0.199,0.047,1.043
0.207,0.043,1.043
0.219,0.043,1.031
0.207,0.047,1
0.184,0.063,1
0.188,0.059,1
0.199,0.043,1.008
0.188,0.027,1.016
0.172,0.023,1.02
0.168,0.012,1.016
0.164,-0.008,1.012
0.152,-0.016,1.008
0.156,-0.004,1.008
0.176,0.027,1
0.199,0.059,1
0.191,0.07,1
0.16,0.074,1
0.129,0.074,1.004
0.105,0.074,1.016
0.094,0.074,1.031
0.078,0.09,1.047
0.074,0.105,1.059
0.086,0.109,1.051
0.098,0.121,1.031
0.094,0.133,1.012
0.063,0.16,1.004
0.023,0.195,1.004
-0.004,0.199,1.02
-0.02,0.176,1.047
-0.035,0.164,1.074
-0.031,0.172,1.098
-0.012,0.18,1.109
0.012,0.176,1.109
0.016,0.168,1.086
-0.008,0.164,1.063
-0.055,0.18,1.039
-0.094,0.184,1.027
-0.113,0.18,1.035
-0.121,0.18,1.07
-0.105,0.184,1.074
-0.082,0.203,1.086
-0.059,0.223,1.078
-0.047,0.238,1.074
-0.047,0.258,1.051
-0.063,0.27,1.039
