------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yy Filter Normal -----------
Serial Number: TAS1F27170050
Start Time 10:40:00
Start Date 7/20/18
Epoch Period (hh:mm:ss) 00:00:01
Download Time 10:44:22
Download Date 7/20/18
Current Memory Address: 0
Current Battery Voltage: 4.2     Mode = 12
--------------------------------------------------
Axis1,Axis2,Axis3
0,0,0
6,12,0
43,0,0
17,47,1
28,21,25
44,72,5
36,59,26
39,72,10
25,26,1
12,65,2
42,25,14
23,65,0
46,26,28
24,74,15
58,53,44
58,82,39
34,75,40
3,63,15
26,63,3
33,52,19
11,52,9
15,47,0
30,57,11
8,57,9
0,62,12
24,54,23
7,52,17
12,57,13
16,49,22
2,49,0
4,59,16
1,28,0
0,41,0
20,42,21
9,34,12
8,64,26
9,73,18
9,66,29
16,52,29
16,73,40
18,82,44
32,57,53
10,63,68
13,62,46
8,66,40
3,57,11
0,77,4
5,67,57
0,62,28
10,62,40
1,89,43
22,59,68
0,79,56
0,37,26
0,41,4
0,44,17
0,41,2
0,44,2
0,34,4
6,56,43
129,51,222
234,52,145
170,77,216
185,114,158
146,87,200
167,88,158
152,97,216
192,79,167
188,87,221
177,95,145
173,102,227
162,78,167
186,84,250
173,69,173
198,95,226
188,86,160
185,83,213
174,106,140
180,102,205
163,86,132
201,92,262
205,78,195
171,77,243
195,71,172
214,92,205
175,87,187
198,89,227
147,109,195
168,99,237
149,113,191
195,85,219
193,86,214
219,78,236
158,87,203
182,89,236
188,79,228
205,68,225
179,78,201
210,85,202
204,90,205
222,76,288
195,81,214
222,59,267
145,75,137
228,78,273
148,90,156
221,62,226
179,67,200
222,71,212
260,83,161
266,93,173
177,93,173
275,75,221
174,111,177
246,71,253
199,55,203
230,62,191
152,88,240
207,94,183
175,80,228
212,115,192
95,140,84
31,119,70
39,134,61
10,95,29
44,86,70
38,97,24
41,129,28
31,133,15
7,125,40
21,118,10
25,129,25
32,109,16
38,113,6
20,93,22
32,145,11
33,126,2
31,113,10
48,88,6
44,90,14
22,70,18
27,95,9
25,79,14
21,86,18
27,92,16
32,116,28
58,124,19
29,113,10
52,111,32
35,120,33
49,115,24
38,88,10
32,82,34
20,80,8
32,82,26
12,68,17
19,84,26
15,78,20
23,80,42
17,73,107
47,62,136
71,104,84
55,65,50
21,77,24
29,82,26
19,85,12
30,71,46
15,80,5
37,69,45
26,91,12
70,67,32
17,91,38
37,92,43
26,65,27
46,113,41
8,112,17
47,76,16
5,78,13
38,69,44
3,61,11
