------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yy at 100 Hz  Filter Normal -----------
Serial Number: TAS1F27170050
Start Time 10:40:00
Start Date 7/20/18
Epoch Period (hh:mm:ss) 00:00:00
Download Time 10:44:22
Download Date 7/20/18
Current Memory Address: 0
Current Battery Voltage: 4.2     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
0.164,0.207,0.992
0.184,0.199,0.984
0.191,0.199,0.98
0.191,0.195,0.984
0.195,0.195,0.98
0.191,0.195,0.977
0.195,0.195,0.973
0.199,0.195,0.977
0.203,0.195,0.984
0.211,0.195,0.992
0.203,0.199,0.992
0.199,0.195,0.988
0.195,0.199,0.984
0.195,0.195,0.988
0.199,0.195,0.988
0.203,0.203,0.984
0.199,0.195,0.98
0.199,0.199,0.98
0.203,0.195,0.98
0.207,0.195,0.98
0.199,0.199,0.98
0.195,0.199,0.98
0.199,0.203,0.984
0.203,0.199,0.98
0.199,0.195,0.98
0.199,0.199,0.98
0.199,0.203,0.98
0.199,0.199,0.98
0.199,0.195,0.98
0.199,0.195,0.984
0.195,0.199,0.988
0.195,0.203,0.988
0.199,0.203,0.988
0.199,0.199,0.984
0.195,0.199,0.98
0.195,0.199,0.977
0.199,0.195,0.98
0.199,0.195,0.98
0.199,0.195,0.977
0.199,0.203,0.98
0.199,0.203,0.977
0.199,0.199,0.98
0.195,0.203,0.988
0.195,0.203,0.984
0.195,0.199,0.984
0.199,0.203,0.98
0.203,0.203,0.98
0.199,0.199,0.98
0.199,0.191,0.98
0.203,0.195,0.98
0.191,0.199,0.98
0.191,0.188,0.98
0.195,0.195,0.98
0.195,0.191,0.98
0.195,0.191,0.98
0.195,0.195,0.98
0.195,0.195,0.98
0.195,0.199,0.98
0.195,0.195,0.98
0.199,0.199,0.984
0.203,0.199,0.984
0.199,0.203,0.984
0.203,0.199,0.98
0.207,0.203,0.977
0.199,0.207,0.98
0.203,0.207,0.98
0.203,0.203,0.984
0.199,0.203,0.984
0.199,0.203,0.988
0.199,0.203,0.984
0.203,0.199,0.98
0.199,0.195,0.98
0.199,0.199,0.984
0.195,0.199,0.98
0.195,0.199,0.98
0.199,0.199,0.984
0.199,0.203,0.984
0.195,0.195,0.984
0.203,0.203,0.984
0.207,0.199,0.984
0.199,0.195,0.984
0.199,0.199,0.98
0.199,0.195,0.988
0.195,0.195,0.98
0.195,0.199,0.98
0.199,0.203,0.98
0.203,0.203,0.984
0.199,0.199,0.984
0.199,0.199,0.984
0.199,0.195,0.98
0.203,0.199,0.98
0.203,0.203,0.98
0.199,0.199,0.977
0.195,0.199,0.977
0.199,0.199,0.98
0.199,0.199,0.988
0.199,0.203,0.988
0.199,0.203,0.98
0.195,0.203,0.98
0.195,0.195,0.98
0.184,0.199,0.98
0.191,0.191,0.977
0.195,0.195,0.98
0.199,0.199,0.98
