------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yy at 100 Hz  Filter Normal -----------
Serial Number: TAS1F27170048
Start Time 08:01:00
Start Date 8/3/18
Epoch Period (hh:mm:ss) 00:00:00
Download Time 08:02:45
Download Date 8/3/18
Current Memory Address: 0
Current Battery Voltage: 4.1     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
-0.762,0.355,0.195
-0.727,0.324,0.156
-0.715,0.273,0.133
-0.742,0.23,0.133
-0.793,0.223,0.16
-0.84,0.227,0.215
-0.883,0.195,0.285
-0.922,0.156,0.359
-0.957,0.105,0.434
-0.965,0.086,0.496
-0.945,0.117,0.492
-0.926,0.207,0.43
-0.895,0.316,0.344
-0.867,0.406,0.297
-0.828,0.492,0.266
-0.793,0.555,0.254
-0.77,0.59,0.254
-0.746,0.563,0.273
-0.727,0.504,0.309
-0.699,0.457,0.352
-0.656,0.453,0.367
-0.629,0.496,0.355
-0.621,0.543,0.332
-0.629,0.578,0.316
-0.641,0.578,0.285
-0.637,0.52,0.266
-0.602,0.469,0.281
-0.559,0.453,0.34
-0.508,0.473,0.398
-0.449,0.48,0.457
-0.418,0.473,0.492
-0.406,0.438,0.461
-0.402,0.418,0.367
-0.383,0.43,0.289
-0.363,0.426,0.215
-0.418,0.414,0.148
-0.535,0.414,0.125
-0.648,0.418,0.195
-0.762,0.422,0.293
-0.852,0.473,0.387
-0.863,0.477,0.438
-0.844,0.383,0.395
-0.816,0.328,0.301
-0.824,0.355,0.184
-0.887,0.418,0.051
-0.887,0.422,-0.008
-0.855,0.402,-0.02
-0.859,0.387,-0.004
-0.828,0.379,0.074
-0.848,0.363,0.152
-0.898,0.367,0.184
-0.941,0.398,0.191
-0.98,0.355,0.176
-0.992,0.34,0.148
-1.027,0.34,0.102
-1.031,0.395,0.039
-1.031,0.453,-0.035
-1.02,0.457,-0.059
-0.984,0.465,-0.059
-0.98,0.457,-0.055
-0.938,0.449,0.031
-0.836,0.406,0.145
-0.734,0.406,0.234
-0.66,0.438,0.266
-0.582,0.41,0.277
-0.512,0.371,0.285
-0.449,0.363,0.32
-0.359,0.383,0.387
-0.324,0.371,0.441
-0.258,0.398,0.523
-0.266,0.465,0.508
-0.297,0.578,0.402
-0.375,0.664,0.242
-0.473,0.672,0.031
-0.605,0.512,-0.129
-0.68,0.242,-0.203
-0.68,0.121,-0.164
-0.617,0.121,-0.133
-0.609,0.184,-0.152
-0.797,-0.086,-0.176
-0.836,-0.207,-0.117
-0.852,-0.16,-0.113
-0.953,-0.039,-0.195
-1,0.125,-0.262
-0.832,0.063,-0.078
-0.895,0.059,0.105
-0.98,0.035,0.023
-0.977,0.18,0.09
-0.926,0.305,0.105
-0.918,0.41,-0.027
-0.934,0.359,-0.184
-0.887,0.133,-0.289
-0.809,-0.082,-0.336
-0.781,-0.168,-0.398
-0.855,-0.203,-0.508
-1.012,-0.234,-0.621
-1.199,-0.199,-0.664
-1.422,-0.094,-0.539
-1.516,-0.18,-0.336
-1.367,-0.336,-0.164
-1.152,-0.184,-0.172
-1.051,-0.02,-0.352
-1.09,-0.035,-0.488
-1.133,-0.152,-0.48
-1.125,-0.262,-0.359
-1.094,-0.184,-0.262
-1.121,0.082,-0.355
-1.191,0.328,-0.574
-1.207,0.426,-0.738
-1.137,0.348,-0.754
-1.051,0.211,-0.602
-0.996,0.121,-0.41
-0.996,0.098,-0.25
-1.023,0.156,-0.168
-1.063,0.234,-0.117
-1.125,0.27,-0.082
-1.207,0.234,-0.09
-1.293,0.152,-0.117
-1.359,0.105,-0.152
-1.398,0.098,-0.18
-1.406,0.086,-0.203
-1.402,0.055,-0.219
-1.402,0.031,-0.254
-1.41,0.055,-0.254
-1.414,0.074,-0.234
-1.414,0.156,-0.262
-1.441,0.191,-0.238
-1.441,0.18,-0.23
-1.43,0.102,-0.211
-1.352,0.031,-0.16
-1.367,-0.023,-0.176
-1.344,-0.012,-0.168
-1.277,0.012,-0.195
-1.234,-0.008,-0.16
-1.207,-0.008,-0.148
-1.184,0.016,-0.156
-1.16,0.043,-0.16
-1.137,0.066,-0.168
-1.129,0.086,-0.195
-1.133,0.09,-0.223
-1.133,0.102,-0.246
-1.141,0.113,-0.25
-1.152,0.121,-0.242
-1.168,0.141,-0.23
-1.168,0.148,-0.227
-1.164,0.141,-0.23
-1.176,0.141,-0.25
-1.203,0.156,-0.273
-1.234,0.195,-0.293
-1.27,0.219,-0.348
-1.332,0.207,-0.402
-1.371,0.18,-0.375
-1.379,0.16,-0.348
-1.391,0.137,-0.328
-1.414,0.133,-0.34
-1.453,0.129,-0.379
-1.48,0.117,-0.398
-1.5,0.117,-0.41
-1.527,0.121,-0.434
-1.551,0.137,-0.422
-1.547,0.125,-0.355
-1.512,0.063,-0.254
-1.457,-0.012,-0.176
-1.418,-0.066,-0.133
-1.391,-0.102,-0.137
-1.355,-0.094,-0.137
-1.32,-0.004,-0.125
-1.305,0.102,-0.148
-1.293,0.18,-0.156
-1.262,0.27,-0.16
-1.23,0.375,-0.184
-1.238,0.453,-0.258
-1.238,0.48,-0.336
-1.23,0.496,-0.383
-1.223,0.523,-0.387
-1.223,0.531,-0.344
-1.215,0.434,-0.262
-1.207,0.305,-0.16
-1.203,0.25,-0.059
-1.23,0.305,0.039
-1.234,0.328,0.176
-1.168,0.281,0.371
-1.027,0.25,0.504
-0.945,0.277,0.516
-0.863,0.305,0.395
-0.84,0.336,0.137
-0.848,0.406,-0.152
-0.813,0.457,-0.371
-0.727,0.391,-0.488
-0.695,0.047,-0.488
-0.648,-0.504,-0.434
-0.57,-0.957,-0.355
-0.523,-0.93,-0.313
-0.582,-0.363,-0.391
-0.664,0.398,-0.523
-0.738,0.844,-0.59
-0.742,0.75,-0.484
-0.656,0.422,-0.188
-0.609,0.188,0.031
-0.656,0.203,0.137
-0.75,0.43,0.238
-0.789,0.586,0.414
-0.77,0.539,0.57
-0.734,0.492,0.609
-0.746,0.52,0.535
-0.762,0.527,0.469
-0.816,0.383,0.422
-0.93,0.285,0.43
-0.957,0.383,0.508
-1.004,0.52,0.48
-1.043,0.527,0.434
-0.996,0.465,0.379
-0.93,0.43,0.313
-0.84,0.434,0.211
-0.727,0.367,0.129
-0.566,0.199,0.055
-0.391,0.047,-0.047
-0.219,-0.031,-0.18
0,-0.102,-0.324
0.219,-0.258,-0.43
0.371,-0.441,-0.441
0.441,-0.527,-0.367
0.402,-0.461,-0.227
0.375,-0.293,-0.098
0.41,-0.074,-0.07
0.391,0.18,-0.047
0.277,0.441,-0.004
0.117,0.684,0.059
-0.094,0.844,-0.016
-0.449,0.984,-0.156
-0.855,1.043,-0.176
-1.121,0.922,-0.066
-1.203,0.664,0.203
-1.152,0.402,0.422
-1.035,0.105,0.453
-1.141,-0.313,0.41
-1.313,-0.453,0.367
-1.648,-0.328,-0.004
-1.871,0.113,-0.16
-1.898,0.488,-0.313
-1.98,0.676,-0.395
-2.094,0.59,-0.27
-2.063,0.43,0.043
-1.941,0.391,0.23
-1.914,0.527,0.254
-1.988,0.766,0.277
-2.121,1,0.293
-2.188,1.027,0.223
-2.074,0.809,0.176
-1.781,0.555,0.156
-1.445,0.422,0.125
-1.074,0.434,0.137
-0.734,0.617,0.035
-0.469,0.824,-0.137
-0.305,0.82,-0.266
-0.105,0.859,-0.387
0.129,0.816,-0.504
0.305,0.504,-0.559
0.41,0.109,-0.613
0.531,-0.219,-0.609
0.641,-0.43,-0.582
0.66,-0.508,-0.574
0.594,-0.422,-0.578
0.457,-0.227,-0.523
0.277,-0.031,-0.426
0.09,0.113,-0.238
-0.07,0.254,0.023
-0.191,0.469,0.23
-0.355,0.559,0.316
-0.621,0.336,0.352
-0.805,0.152,0.426
-0.906,0.25,0.543
-1.008,0.488,0.539
-1.07,0.805,0.523
-1.051,1.133,0.512
-1.012,1.418,0.469
-1.043,1.582,0.383
-1.094,1.492,0.348
-1.219,1.203,0.41
-1.457,1.168,0.465
-1.719,1.461,0.477
-2.043,1.477,0.34
-2.363,1.25,0.203
-2.391,1.059,0.238
-2.133,0.848,0.547
-1.809,0.465,0.852
-1.633,0.164,0.879
-1.578,0.02,0.844
-1.488,-0.066,0.688
-1.34,-0.016,0.453
