------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yy at 100 Hz  Filter Normal -----------
Serial Number: TAS1F27170049
Start Time 08:05:00
Start Date 8/3/18
Epoch Period (hh:mm:ss) 00:00:00
Download Time 08:06:36
Download Date 8/3/18
Current Memory Address: 0
Current Battery Voltage: 4.17     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
0.867,0.133,-0.098
0.875,0.195,-0.102
0.832,0.234,-0.094
0.816,0.258,-0.082
0.816,0.367,-0.105
0.781,0.5,-0.152
0.777,0.566,-0.211
0.816,0.824,-0.395
0.699,0.965,-0.457
0.738,0.914,-0.441
0.809,0.855,-0.383
0.805,0.77,-0.34
0.781,0.684,-0.238
0.777,0.613,-0.16
0.75,0.602,-0.105
0.723,0.598,-0.07
0.715,0.613,-0.063
0.699,0.633,-0.074
0.66,0.676,-0.109
0.648,0.73,-0.121
0.656,0.613,-0.016
0.777,0.48,0.031
0.816,0.844,-0.129
0.535,1.172,-0.328
0.434,0.906,-0.254
0.578,0.715,-0.145
0.559,0.77,-0.109
0.43,0.801,-0.109
0.422,0.902,-0.117
0.473,0.977,-0.082
0.496,0.961,-0.027
0.473,0.844,0.02
0.492,0.793,0.035
0.5,0.824,-0.008
0.453,0.832,-0.051
0.379,0.738,-0.082
0.336,0.727,-0.109
0.313,0.828,-0.129
0.348,0.895,-0.098
0.379,0.984,-0.063
0.395,1.035,-0.066
0.398,1.113,-0.063
0.398,1.094,-0.012
0.422,0.949,0.047
0.441,0.836,0.082
0.43,0.688,0.141
0.422,0.496,0.199
0.418,0.477,0.227
0.438,0.496,0.281
0.445,0.445,0.324
0.469,0.504,0.371
0.523,0.484,0.406
0.578,0.477,0.422
0.629,0.496,0.406
0.625,0.441,0.398
0.609,0.367,0.406
0.621,0.27,0.426
0.621,0.156,0.457
0.605,0.074,0.488
0.633,0.066,0.5
0.684,0.133,0.477
0.719,0.18,0.449
0.734,0.145,0.508
0.773,0.055,0.633
0.82,-0.059,0.762
0.816,-0.117,0.863
0.813,-0.152,0.918
0.828,-0.105,0.922
0.867,0.008,0.875
0.906,0.133,0.813
0.938,0.262,0.777
0.957,0.367,0.746
0.934,0.41,0.738
0.887,0.387,0.734
0.844,0.355,0.746
0.793,0.383,0.695
0.734,0.426,0.621
0.684,0.473,0.543
0.645,0.484,0.48
0.629,0.465,0.418
0.633,0.402,0.375
0.641,0.324,0.355
0.66,0.254,0.355
0.664,0.188,0.379
0.668,0.156,0.414
0.703,0.164,0.441
0.742,0.195,0.488
0.781,0.207,0.551
0.813,0.25,0.598
0.844,0.348,0.629
0.859,0.457,0.668
0.855,0.527,0.707
0.832,0.531,0.738
0.805,0.59,0.648
0.785,0.676,0.461
0.766,0.715,0.285
0.727,0.688,0.148
0.715,0.652,0.074
0.711,0.594,0.043
0.715,0.477,0.09
0.707,0.371,0.176
0.703,0.289,0.258
0.656,0.219,0.32
0.574,0.117,0.344
0.512,0.027,0.313
0.465,0.016,0.234
0.449,0.059,0.148
0.469,0.141,0.09
0.52,0.199,0.063
0.566,0.227,0.063
0.637,0.281,0.109
0.699,0.375,0.18
0.754,0.496,0.23
0.797,0.617,0.258
0.777,0.648,0.277
0.719,0.535,0.328
0.621,0.367,0.301
0.555,0.238,0.309
0.59,0.168,0.293
0.73,0.266,0.246
0.77,0.453,0.402
0.695,0.547,0.57
0.676,0.703,0.613
0.676,0.68,0.586
0.672,0.512,0.551
0.656,0.426,0.484
0.68,0.469,0.406
0.723,0.617,0.32
0.785,0.688,0.32
0.855,0.613,0.367
0.922,0.543,0.414
0.953,0.453,0.484
0.961,0.395,0.535
0.977,0.379,0.516
1,0.348,0.461
1.043,0.34,0.379
1.082,0.348,0.27
1.09,0.414,0.156
1.063,0.441,0.121
1.059,0.379,0.105
1.07,0.313,0.102
1.043,0.238,0.125
0.961,0.199,0.145
0.859,0.156,0.164
0.766,0.121,0.188
0.73,0.172,0.18
0.707,0.262,0.211
0.68,0.297,0.273
0.688,0.309,0.336
0.691,0.297,0.363
0.68,0.246,0.375
0.699,0.164,0.305
0.676,0.164,0.156
0.668,0.188,-0.008
0.727,0.238,-0.168
0.746,0.164,-0.242
0.824,0.02,-0.234
0.875,-0.043,-0.188
0.914,-0.031,-0.141
0.945,-0.023,-0.09
0.984,-0.043,-0.078
0.977,-0.09,-0.102
0.906,-0.156,-0.051
0.879,-0.098,-0.102
0.77,-0.059,-0.012
0.801,0.004,0.008
0.922,0.223,-0.031
0.832,0.281,0.059
0.941,0.395,0.109
0.922,0.441,0.234
0.84,0.41,0.27
0.895,0.32,0.184
0.801,0.152,0.168
0.855,0.109,0.059
0.906,0.184,-0.02
0.895,0.211,-0.039
0.785,0.145,-0.008
0.695,-0.094,-0.063
0.711,-0.41,-0.242
0.816,-0.492,-0.395
0.953,-0.27,-0.539
1.055,0.039,-0.523
1.09,0.137,-0.359
1.125,0.043,-0.195
1.18,0.039,-0.086
1.199,0.09,-0.031
1.219,0.047,0.004
1.242,-0.031,0.008
1.254,-0.066,0.016
1.289,0.016,-0.039
1.324,0.234,-0.156
1.289,0.375,-0.273
1.184,0.32,-0.332
1.09,0.176,-0.34
1.047,0.137,-0.313
1.059,0.211,-0.285
1.059,0.238,-0.188
1.063,0.176,-0.094
1.109,0.105,-0.059
1.129,0.023,-0.066
1.148,-0.023,-0.133
1.168,-0.051,-0.191
1.176,-0.055,-0.223
1.176,-0.039,-0.258
1.184,0.02,-0.258
1.215,0.105,-0.266
1.254,0.184,-0.273
1.289,0.219,-0.281
1.32,0.207,-0.305
1.289,0.133,-0.34
1.336,0.105,-0.352
1.344,0.098,-0.387
1.379,0.18,-0.387
1.383,0.266,-0.387
1.359,0.289,-0.395
1.332,0.234,-0.352
1.32,0.094,-0.277
1.332,-0.051,-0.238
1.34,-0.168,-0.211
1.34,-0.258,-0.195
1.391,-0.332,-0.203
1.477,-0.344,-0.223
1.48,-0.254,-0.242
1.418,-0.078,-0.273
1.324,0.16,-0.324
1.266,0.383,-0.363
1.199,0.496,-0.406
1.176,0.516,-0.418
1.18,0.48,-0.402
1.184,0.41,-0.371
1.176,0.305,-0.332
1.156,0.219,-0.289
1.098,0.207,-0.277
1.051,0.234,-0.281
1.031,0.246,-0.285
1.012,0.211,-0.289
1,0.176,-0.281
1,0.164,-0.273
1.004,0.156,-0.277
1.016,0.156,-0.281
1.02,0.145,-0.27
1.031,0.129,-0.277
1.059,0.121,-0.281
1.117,0.105,-0.277
1.18,0.051,-0.285
1.277,-0.031,-0.281
1.395,-0.117,-0.27
1.477,-0.152,-0.266
1.508,-0.094,-0.266
1.48,-0.031,-0.289
1.449,-0.023,-0.352
1.492,-0.074,-0.41
1.566,-0.129,-0.492
1.617,-0.121,-0.543
1.602,-0.082,-0.516
1.523,-0.055,-0.484
1.457,-0.004,-0.465
1.441,0.043,-0.457
1.496,0.082,-0.453
1.504,0.035,-0.438
1.414,0,-0.41
1.375,0.047,-0.363
1.336,0.055,-0.336
1.309,0.074,-0.309
1.289,0.125,-0.285
1.266,0.199,-0.25
1.234,0.289,-0.23
1.23,0.398,-0.242
1.246,0.496,-0.27
1.227,0.555,-0.293
1.156,0.559,-0.297
1.063,0.555,-0.293
1.023,0.578,-0.277
1.02,0.621,-0.242
1,0.613,-0.211
0.992,0.543,-0.195
1.012,0.41,-0.207
1.043,0.273,-0.203
1.07,0.148,-0.16
1.102,0.098,-0.094
1.137,0.156,-0.016
1.16,0.246,0.094
1.168,0.246,0.219
1.137,0.129,0.305
1.082,0.047,0.273
1.027,0.09,0.082
0.977,0.133,-0.18
0.988,0.039,-0.438
1.012,-0.105,-0.648
1.008,-0.262,-0.82
0.926,-0.445,-0.945
0.797,-0.633,-1.004
0.691,-0.766,-1.02
0.629,-0.836,-0.996
0.613,-0.848,-0.945
0.691,-0.82,-0.918
0.801,-0.75,-0.902
0.844,-0.727,-0.801
0.855,-0.727,-0.695
0.848,-0.547,-0.586
0.863,-0.195,-0.48
0.922,0.316,-0.434
1,0.797,-0.379
1.086,1.094,-0.301
1.168,1.074,-0.379
1.305,1.051,-0.547
1.375,0.996,-0.566
1.363,0.82,-0.488
1.336,0.676,-0.328
1.293,0.445,-0.063
1.324,0.309,0.242
1.457,0.305,0.648
1.41,0.523,1.035
1.27,1.105,1.102
1.324,1.695,1.078
1.41,1.836,1.168
1.352,1.719,1.219
1.27,1.645,1.227
1.16,1.535,1.133
1.008,1.309,0.926
0.898,1.063,0.676
0.809,0.953,0.395
0.688,0.844,0.176
0.555,0.715,-0.152
0.539,0.453,-0.453
0.723,0.039,-0.426
0.809,-0.246,-0.309
0.863,-0.219,-0.191
0.996,0.125,-0.125
1.191,0.719,-0.234
1.375,1.406,-0.469
1.469,1.82,-0.719
1.523,1.746,-0.934
1.598,1.313,-1.035
1.629,0.859,-1.012
1.672,0.59,-0.922
1.75,0.48,-0.867
1.84,0.527,-0.84
1.879,0.59,-0.844
1.895,0.551,-0.867
1.84,0.348,-0.84
1.727,0.02,-0.762
1.582,-0.285,-0.645
1.418,-0.438,-0.547
1.301,-0.438,-0.508
1.23,-0.5,-0.512
1.168,-0.535,-0.527
1.102,-0.535,-0.563
1.035,-0.57,-0.566
0.973,-0.578,-0.547
0.883,-0.551,-0.516
0.789,-0.527,-0.453
0.711,-0.445,-0.395
0.625,-0.367,-0.375
0.512,-0.246,-0.406
0.453,-0.02,-0.469
0.383,0.191,-0.539
0.316,0.332,-0.574
0.289,0.332,-0.488
0.344,0.305,-0.359
0.434,0.324,-0.152
0.578,0.398,-0.047
0.824,0.688,0.066
0.828,0.586,0.223
0.785,0.492,0.262
0.859,0.598,0.129
1.055,1.055,-0.184
1.176,1.52,-0.371
1.23,1.547,-0.367
1.246,1.277,-0.227
1.293,0.984,-0.043
1.336,0.781,0.109
1.266,0.664,0.172
1.25,0.566,0.168
1.277,0.586,-0.008
1.387,0.82,-0.227
1.492,1,-0.336
1.57,0.949,-0.32
1.637,0.77,-0.246
1.695,0.609,-0.145
1.754,0.422,-0.023
1.828,0.285,0.07
1.891,0.246,0.117
1.949,0.23,0.176
1.965,0.207,0.258
1.887,0.281,0.301
1.773,0.434,0.285
1.641,0.555,0.258
1.496,0.59,0.266
1.344,0.57,0.266
1.156,0.578,0.234
0.953,0.578,0.195
0.723,0.574,0.16
0.473,0.48,0.184
0.23,0.383,0.191
0.008,0.352,0.18
-0.168,0.406,0.051
-0.27,0.57,-0.176
-0.289,0.719,-0.352
-0.23,0.715,-0.438
-0.133,0.664,-0.48
-0.027,0.555,-0.488
0.051,0.406,-0.492
0.117,0.305,-0.488
0.207,0.289,-0.445
0.309,0.398,-0.426
0.41,0.637,-0.41
0.59,0.828,-0.402
0.828,0.832,-0.328
1.074,0.762,-0.254
1.262,0.672,-0.246
1.355,0.508,-0.156
1.352,0.465,-0.066
1.324,0.625,-0.098
1.426,0.762,-0.113
1.637,0.887,-0.141
1.797,0.945,-0.137
1.887,0.977,-0.117
2.004,0.973,-0.051
2.137,0.836,0.047
2.215,0.652,0.172
2.238,0.5,0.277
2.23,0.422,0.359
2.168,0.348,0.359
2.039,0.223,0.348
1.84,0.078,0.34
1.582,-0.027,0.25
1.277,-0.109,0.121
0.949,-0.191,-0.004
0.625,-0.238,-0.102
0.348,-0.242,-0.172
0.117,-0.211,-0.191
-0.043,-0.156,-0.148
-0.113,-0.051,-0.074
-0.148,0.07,-0.012
-0.203,0.164,0.055
-0.242,0.262,-0.008
-0.223,0.422,-0.117
-0.168,0.512,-0.129
-0.098,0.547,-0.074
0.027,0.668,0.039
0.215,0.805,0.215
0.398,0.949,0.461
0.551,1.047,0.703
0.699,1.043,0.953
0.84,0.914,1.168
0.922,0.719,1.293
0.938,0.582,1.277
0.914,0.539,1.137
0.867,0.539,0.938
0.813,0.535,0.734
0.801,0.543,0.555
0.816,0.586,0.402
0.836,0.641,0.277
0.836,0.668,0.191
0.813,0.664,0.152
0.789,0.648,0.16
0.777,0.613,0.195
0.77,0.566,0.242
0.766,0.52,0.301
0.766,0.477,0.367
0.754,0.445,0.422
0.742,0.434,0.465
0.73,0.441,0.492
0.719,0.449,0.512
0.703,0.469,0.512
0.684,0.496,0.488
0.672,0.516,0.469
0.664,0.535,0.453
0.66,0.563,0.426
0.652,0.598,0.398
0.641,0.598,0.379
0.621,0.566,0.359
0.59,0.531,0.352
0.559,0.457,0.336
0.547,0.375,0.297
0.555,0.305,0.258
0.57,0.254,0.238
0.551,0.238,0.199
0.512,0.25,0.152
0.469,0.258,0.109
0.445,0.262,0.094
0.449,0.234,0.09
0.48,0.18,0.117
0.496,0.098,0.152
0.531,0.063,0.203
0.637,0.145,0.234
0.738,0.285,0.27
0.805,0.449,0.313
0.844,0.605,0.355
0.855,0.711,0.379
0.832,0.738,0.375
0.82,0.754,0.367
0.813,0.75,0.363
0.816,0.715,0.352
0.816,0.68,0.371
0.844,0.645,0.426
0.863,0.598,0.465
0.859,0.59,0.43
0.844,0.555,0.414
0.738,0.473,0.316
0.684,0.504,0.105
0.66,0.523,0.102
0.652,0.457,0.191
0.648,0.477,0.285
0.738,0.523,0.324
0.777,0.449,0.395
0.746,0.383,0.348
0.73,0.375,0.316
0.766,0.332,0.316
0.828,0.305,0.313
0.859,0.352,0.277
0.883,0.387,0.215
0.91,0.371,0.242
0.953,0.375,0.285
1.023,0.402,0.309
1.121,0.414,0.32
1.168,0.395,0.293
1.164,0.375,0.215
1.156,0.34,0.141
1.145,0.273,0.066
1.109,0.227,-0.004
1.09,0.223,-0.031
1.039,0.152,-0.004
0.992,0.109,0.027
0.957,0.102,0.031
0.945,0.02,0.012
0.918,0.023,-0.02
0.906,0.078,-0.016
0.883,0.109,0.012
0.875,0.195,0.035
0.855,0.32,0.059
0.82,0.348,0.074
0.816,0.332,0.051
0.832,0.246,0.059
0.836,0.121,0.09
0.867,0.031,0.094
0.898,-0.004,0.09
0.918,-0.004,0.109
0.902,-0.02,0.117
0.926,0.047,0.02
0.961,0.168,-0.105
0.91,0.152,-0.129
0.879,0.066,-0.16
0.879,0.004,-0.191
0.898,-0.043,-0.172
0.91,-0.063,-0.137
0.902,-0.094,-0.078
0.883,-0.098,-0.035
0.867,-0.031,-0.02
0.84,0.113,-0.035
0.777,0.148,-0.055
0.75,0.152,-0.113
0.742,0.168,-0.117
0.742,0.195,-0.098
0.734,0.164,-0.066
0.711,0.074,0.051
0.703,0.055,0.121
0.727,0.121,0.066
0.898,0.281,0.004
0.957,0.328,-0.027
0.941,0.191,0.066
0.93,-0.133,0.063
0.77,-0.652,0.117
0.746,-0.602,0.016
0.781,-0.25,-0.16
0.941,-0.023,-0.316
1.07,0.012,-0.434
1.066,0.078,-0.418
0.969,0.07,-0.215
1.316,0.027,-0.227
1.379,-0.133,-0.129
1.148,-0.266,-0.023
1.043,-0.309,0.012
1.043,-0.238,-0.023
0.984,-0.02,-0.066
0.953,0.156,-0.082
0.953,0.242,-0.078
0.984,0.297,-0.094
1.02,0.363,-0.148
1.027,0.398,-0.188
1.012,0.34,-0.184
0.992,0.203,-0.16
1.004,0.098,-0.152
1.027,0.09,-0.133
1.059,0.172,-0.117
1.078,0.297,-0.117
1.094,0.395,-0.145
1.133,0.434,-0.203
1.176,0.418,-0.234
1.223,0.324,-0.273
1.246,0.184,-0.352
1.313,0.055,-0.395
1.387,-0.043,-0.391
1.434,-0.043,-0.328
1.422,0.023,-0.254
1.406,0.109,-0.203
1.441,0.172,-0.176
1.449,0.133,-0.207
1.445,0.004,-0.301
1.449,-0.117,-0.422
1.543,-0.168,-0.438
1.563,-0.238,-0.43
1.527,-0.328,-0.457
1.5,-0.395,-0.469
1.469,-0.434,-0.504
1.457,-0.34,-0.504
1.414,-0.191,-0.473
1.344,-0.09,-0.469
1.289,-0.023,-0.477
1.273,0.035,-0.496
1.328,0.164,-0.504
1.262,0.219,-0.48
1.129,0.219,-0.508
1.148,0.297,-0.465
1.148,0.352,-0.41
1.059,0.352,-0.379
0.988,0.305,-0.352
0.98,0.234,-0.313
0.977,0.164,-0.27
0.945,0.137,-0.23
0.906,0.129,-0.191
0.902,0.133,-0.164
0.906,0.145,-0.145
0.922,0.141,-0.109
0.941,0.102,-0.082
0.957,0.039,-0.07
0.973,-0.012,-0.059
0.992,-0.023,-0.051
0.992,-0.016,-0.066
0.984,-0.008,-0.094
0.977,0.008,-0.121
0.961,0.023,-0.156
0.949,0.039,-0.188
0.949,0.059,-0.227
0.965,0.102,-0.238
0.984,0.117,-0.234
1.012,0.086,-0.227
1.043,0.063,-0.223
1.082,0.059,-0.23
1.113,0.059,-0.25
1.16,0.086,-0.273
1.227,0.113,-0.344
1.313,0.117,-0.41
1.383,0.098,-0.453
1.43,0.086,-0.465
1.438,0.102,-0.465
1.43,0.109,-0.441
1.414,0.07,-0.398
1.434,-0.008,-0.367
1.445,-0.035,-0.324
1.43,-0.051,-0.27
1.395,-0.063,-0.223
1.383,-0.09,-0.195
1.387,-0.074,-0.18
1.332,-0.063,-0.16
1.332,-0.082,-0.16
1.375,-0.137,-0.168
1.359,-0.086,-0.191
1.367,-0.027,-0.207
1.375,0.008,-0.223
1.348,0.043,-0.238
1.32,0.09,-0.273
1.301,0.117,-0.305
1.281,0.125,-0.32
1.258,0.133,-0.32
1.262,0.18,-0.316
1.258,0.238,-0.324
1.254,0.297,-0.328
1.254,0.352,-0.324
1.242,0.395,-0.309
1.195,0.379,-0.27
1.125,0.332,-0.215
1.063,0.285,-0.18
1.031,0.277,-0.16
1.016,0.281,-0.156
1.02,0.305,-0.145
1.02,0.336,-0.102
1.031,0.375,-0.039
1.055,0.383,0.039
1.082,0.375,0.125
1.121,0.395,0.277
1.125,0.316,0.504
1.117,0.199,0.684
1.117,0.176,0.73
1.125,0.238,0.664
1.117,0.297,0.52
1.055,0.387,0.297
0.98,0.465,0.031
0.945,0.441,-0.223
0.926,0.301,-0.43
0.918,0.102,-0.551
0.91,-0.117,-0.594
0.879,-0.211,-0.617
0.871,-0.141,-0.656
0.875,-0.063,-0.719
0.922,-0.043,-0.754
0.977,-0.086,-0.719
0.988,-0.129,-0.637
0.988,-0.145,-0.52
0.973,-0.16,-0.363
0.961,-0.184,-0.215
0.945,-0.176,-0.098
0.93,-0.191,0.016
0.91,-0.203,0.105
0.883,-0.133,0.137
0.828,-0.066,0.102
0.781,-0.063,0.023
0.672,-0.094,-0.102
0.543,-0.145,-0.266
