------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yy at 100 Hz  Filter Normal -----------
Serial Number: TAS1E52150596
Start Time 09:30:00
Start Date 8/5/18
Epoch Period (hh:mm:ss) 00:00:00
Download Time 09:31:34
Download Date 8/5/18
Current Memory Address: 0
Current Battery Voltage: 4.17     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
-0.406,0.516,0.832
-0.383,0.516,0.824
-0.379,0.523,0.813
-0.379,0.527,0.816
-0.375,0.527,0.816
-0.371,0.523,0.82
-0.375,0.527,0.824
-0.375,0.535,0.828
-0.379,0.547,0.832
-0.383,0.551,0.832
-0.387,0.547,0.832
-0.391,0.547,0.824
-0.391,0.535,0.809
-0.391,0.523,0.809
-0.387,0.508,0.801
-0.375,0.5,0.805
-0.363,0.508,0.801
-0.367,0.516,0.793
-0.375,0.523,0.785
-0.363,0.527,0.781
-0.352,0.52,0.781
-0.348,0.516,0.777
-0.352,0.508,0.777
-0.348,0.5,0.773
-0.348,0.492,0.777
-0.348,0.492,0.773
-0.348,0.496,0.773
-0.348,0.508,0.773
-0.352,0.512,0.781
-0.348,0.527,0.789
-0.359,0.551,0.781
-0.379,0.566,0.781
-0.387,0.563,0.781
-0.375,0.547,0.785
-0.359,0.531,0.789
-0.355,0.52,0.793
-0.355,0.508,0.797
-0.352,0.504,0.801
-0.34,0.523,0.797
-0.336,0.547,0.785
-0.344,0.559,0.789
-0.348,0.555,0.793
-0.344,0.527,0.805
-0.34,0.5,0.82
-0.332,0.477,0.824
-0.332,0.469,0.82
-0.336,0.465,0.82
-0.328,0.477,0.816
-0.324,0.496,0.805
-0.336,0.516,0.801
-0.355,0.52,0.805
-0.34,0.523,0.816
-0.344,0.531,0.816
-0.355,0.527,0.816
-0.355,0.52,0.82
-0.355,0.52,0.809
-0.355,0.516,0.809
-0.352,0.512,0.816
-0.355,0.492,0.809
-0.379,0.469,0.816
-0.43,0.406,0.863
-0.484,0.332,0.934
-0.508,0.297,1.008
-0.504,0.297,1.027
-0.5,0.363,0.961
-0.492,0.457,0.871
-0.469,0.527,0.781
-0.449,0.566,0.699
-0.438,0.563,0.656
-0.426,0.547,0.633
-0.402,0.594,0.578
-0.344,0.73,0.469
-0.293,0.918,0.355
-0.27,1.063,0.273
-0.27,1.137,0.242
-0.266,1.07,0.305
-0.273,0.949,0.43
-0.301,0.895,0.531
-0.328,0.883,0.605
-0.313,0.836,0.668
-0.285,0.75,0.723
-0.27,0.656,0.766
-0.25,0.625,0.789
-0.242,0.66,0.758
-0.25,0.699,0.715
-0.266,0.715,0.668
-0.27,0.699,0.648
-0.262,0.652,0.648
-0.25,0.613,0.641
-0.223,0.594,0.637
-0.207,0.574,0.625
-0.215,0.555,0.621
-0.219,0.551,0.609
-0.242,0.539,0.594
-0.254,0.523,0.586
-0.277,0.535,0.586
-0.348,0.547,0.59
-0.402,0.574,0.609
-0.441,0.637,0.66
-0.504,0.648,0.75
-0.547,0.633,0.801
-0.531,0.613,0.809
-0.516,0.574,0.773
-0.527,0.52,0.738
-0.535,0.434,0.754
-0.504,0.418,0.75
-0.461,0.5,0.68
-0.426,0.598,0.605
-0.387,0.613,0.539
-0.367,0.539,0.492
-0.383,0.445,0.473
-0.43,0.367,0.473
-0.48,0.34,0.5
-0.516,0.355,0.52
-0.52,0.363,0.551
-0.484,0.371,0.629
-0.391,0.414,0.711
-0.301,0.563,0.691
-0.289,0.781,0.582
-0.316,0.891,0.496
-0.324,0.859,0.469
-0.313,0.727,0.457
-0.281,0.641,0.527
-0.262,0.609,0.625
-0.25,0.59,0.75
-0.254,0.602,0.82
-0.238,0.676,0.813
-0.23,0.785,0.793
-0.258,0.84,0.816
-0.293,0.793,0.793
-0.328,0.785,0.809
-0.348,0.816,0.824
-0.309,0.879,0.758
-0.246,1.027,0.613
-0.203,1.285,0.387
-0.238,1.352,0.277
-0.293,1.09,0.328
-0.355,0.793,0.449
-0.426,0.742,0.52
-0.516,0.805,0.566
-0.617,0.746,0.578
-0.684,0.656,0.559
-0.727,0.551,0.563
-0.816,0.309,0.543
-0.945,-0.039,0.547
-1.047,-0.324,0.551
-1.117,-0.426,0.535
-1.184,-0.359,0.512
-1.242,-0.18,0.52
-1.277,0.063,0.5
-1.309,0.305,0.418
-1.262,0.461,0.332
-1.125,0.563,0.23
-0.973,0.586,0.117
-0.859,0.57,0.02
-0.77,0.488,-0.035
-0.637,0.426,-0.043
-0.484,0.395,-0.059
