------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yy at 100 Hz  Filter Normal -----------
Serial Number: TAS1E52150597
Start Time 09:36:00
Start Date 8/5/18
Epoch Period (hh:mm:ss) 00:00:00
Download Time 09:37:35
Download Date 8/5/18
Current Memory Address: 0
Current Battery Voltage: 4.15     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
0.363,0.805,0.465
0.387,0.789,0.465
0.402,0.773,0.445
0.414,0.773,0.406
0.395,0.781,0.398
0.363,0.73,0.414
0.363,0.734,0.402
0.375,0.828,0.398
0.348,0.883,0.379
0.309,0.922,0.313
0.262,0.957,0.23
0.203,0.887,0.156
0.148,0.84,0.102
0.074,0.754,0.066
0.023,0.672,0.059
-0.004,0.621,0.043
-0.023,0.633,0.055
-0.027,0.66,0.121
0.031,0.695,0.355
0.129,0.684,0.633
0.176,0.605,0.844
0.242,0.563,1.008
0.301,0.598,1.07
0.363,0.699,1.117
0.363,0.809,1.07
0.332,0.902,1.012
0.309,0.945,0.891
0.305,0.977,0.742
0.316,1,0.641
0.363,1.027,0.594
0.43,1.063,0.582
0.516,1.105,0.602
0.613,1.148,0.613
0.664,1.164,0.602
0.699,1.152,0.59
0.773,1.09,0.613
0.848,0.969,0.656
0.844,0.805,0.637
0.734,0.691,0.594
0.762,0.602,0.559
0.883,0.496,0.504
1.012,0.379,0.449
1.086,0.234,0.395
1.09,0.121,0.367
1.07,0.059,0.367
1.07,0.055,0.371
1.094,0.063,0.375
1.129,0.031,0.418
1.164,0.008,0.473
1.18,0.035,0.523
1.141,0.066,0.551
1.063,0.113,0.539
0.98,0.168,0.504
0.93,0.18,0.449
0.922,0.176,0.391
0.934,0.215,0.32
0.926,0.262,0.23
0.879,0.348,0.141
0.848,0.453,0.047
0.781,0.512,-0.051
0.723,0.586,-0.148
0.684,0.711,-0.238
0.676,0.863,-0.305
0.66,0.941,-0.305
0.598,1.012,-0.293
0.566,1.063,-0.273
0.516,1.066,-0.246
0.441,1.113,-0.246
0.434,1.203,-0.223
0.469,1.25,-0.129
0.48,1.25,-0.016
0.504,1.199,0.117
0.543,1.082,0.297
0.57,0.965,0.461
0.602,0.883,0.582
0.617,0.844,0.656
0.637,0.848,0.73
0.652,0.852,0.793
0.664,0.785,0.836
0.723,0.633,0.91
0.754,0.395,0.965
0.695,0.16,0.945
0.605,0,0.855
0.688,-0.02,0.75
0.742,0.121,0.594
0.789,0.332,0.414
0.816,0.504,0.293
0.777,0.629,0.215
0.734,0.645,0.234
0.691,0.582,0.277
0.668,0.504,0.297
0.648,0.402,0.305
0.68,0.289,0.309
0.707,0.168,0.273
0.691,0.066,0.273
0.684,0.059,0.266
0.734,0.133,0.234
0.77,0.246,0.203
0.781,0.336,0.219
0.836,0.367,0.215
0.891,0.355,0.195
0.945,0.285,0.227
0.988,0.207,0.258
1.047,0.172,0.238
1.152,0.25,0.176
1.246,0.402,0.105
1.273,0.441,0.086
1.246,0.352,0.09
1.203,0.246,0.059
1.156,0.168,0.035
1.102,0.082,0.008
1.059,0.027,-0.012
0.969,-0.012,0.02
0.863,0.031,0.07
0.758,0.176,0.121
0.723,0.34,0.156
0.676,0.406,0.184
0.598,0.355,0.207
0.559,0.289,0.199
0.57,0.262,0.164
0.617,0.25,0.148
0.617,0.148,0.184
0.68,0.117,0.172
0.754,0.082,0.184
0.785,-0.004,0.184
0.797,0,0.18
0.766,0.008,0.152
0.738,0.059,0.09
0.73,0.137,0.012
0.703,0.137,-0.066
0.664,0.133,-0.121
0.672,0.133,-0.117
0.594,0.07,-0.082
0.563,-0.074,-0.023
0.598,-0.109,-0.039
0.629,-0.059,-0.047
0.598,-0.043,-0.023
0.594,0.008,-0.012
0.625,0.059,0.008
0.664,0.059,0.063
0.695,0.074,0.113
0.77,0.133,0.129
0.875,0.16,0.102
1.027,0.102,0.055
1.148,-0.18,-0.004
1.199,-0.465,-0.016
1.125,-0.492,-0.098
0.957,-0.367,-0.125
1,-0.363,-0.051
1.133,-0.352,0.031
1.191,-0.508,0.051
1.301,-0.406,0.023
1.215,-0.293,-0.02
1.117,-0.297,-0.113
1.066,-0.141,-0.184
1.059,0.133,-0.223
1.105,0.332,-0.211
1.141,0.449,-0.168
1.156,0.473,-0.16
1.176,0.41,-0.184
1.238,0.313,-0.219
1.313,0.242,-0.254
1.32,0.16,-0.293
1.344,0.137,-0.344
1.441,0.246,-0.422
1.543,0.363,-0.484
1.645,0.387,-0.496
1.645,0.207,-0.527
1.621,-0.051,-0.492
1.582,-0.25,-0.457
1.551,-0.313,-0.457
1.516,-0.246,-0.461
1.5,-0.16,-0.441
1.504,-0.121,-0.391
1.527,-0.141,-0.332
1.559,-0.172,-0.297
1.59,-0.188,-0.234
1.609,-0.219,-0.156
1.59,-0.375,-0.094
1.59,-0.629,-0.105
1.598,-0.793,-0.184
1.516,-0.758,-0.242
1.375,-0.59,-0.297
1.262,-0.434,-0.367
