------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yy at 100 Hz  Filter Normal -----------
Serial Number: TAS1E52150597
Start Time 20:41:00
Start Date 7/27/18
Epoch Period (hh:mm:ss) 00:00:00
Download Time 20:42:37
Download Date 7/27/18
Current Memory Address: 0
Current Battery Voltage: 4.15     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
0.426,0.988,0.055
0.426,0.961,0.063
0.426,0.941,0.074
0.426,0.93,0.082
0.426,0.918,0.078
0.418,0.902,0.074
0.406,0.867,0.074
0.395,0.832,0.074
0.387,0.813,0.078
0.391,0.789,0.09
0.402,0.766,0.102
0.43,0.754,0.105
0.465,0.762,0.125
0.5,0.777,0.141
0.531,0.816,0.156
0.555,0.883,0.164
0.57,0.961,0.168
0.602,1.012,0.176
0.617,1.027,0.188
0.621,1.008,0.207
0.609,0.969,0.234
0.594,0.922,0.266
0.582,0.887,0.289
0.574,0.879,0.301
0.566,0.902,0.285
0.547,0.945,0.258
0.512,0.973,0.219
0.48,0.977,0.18
0.449,0.945,0.176
0.43,0.949,0.188
0.422,0.996,0.199
0.414,1.059,0.223
0.387,1.043,0.227
0.352,1.016,0.18
0.316,1.102,0.094
0.277,1.238,0.031
0.254,1.281,0.008
0.258,1.227,0.047
0.289,1.219,0.102
0.309,1.242,0.113
0.305,1.215,0.117
0.289,1.133,0.117
0.25,1.105,0.082
0.234,1.094,0.043
0.246,1.094,0.008
0.27,1.086,-0.039
0.273,1.066,-0.07
0.309,0.734,0.102
0.48,0.16,0.465
0.605,0.031,0.645
0.602,0.113,0.723
0.602,0.203,0.777
0.617,0.25,0.844
0.617,0.152,0.926
0.637,-0.043,1.023
0.727,-0.148,1.051
0.789,-0.117,1.004
0.742,0.152,0.828
0.59,0.633,0.59
0.41,1.305,0.293
0.254,1.656,0.105
0.195,1.625,0.008
0.195,1.445,-0.055
0.199,1.074,-0.031
0.246,0.684,0.012
0.297,0.523,0.051
0.352,0.453,0.109
0.438,0.371,0.262
0.566,0.211,0.52
0.676,-0.043,0.875
