------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yy at 100 Hz  Filter Normal -----------
Serial Number: TAS1E52150596
Start Time 20:41:00
Start Date 7/27/18
Epoch Period (hh:mm:ss) 00:00:00
Download Time 20:42:36
Download Date 7/27/18
Current Memory Address: 0
Current Battery Voltage: 4.16     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
-0.32,0.758,0.641
-0.293,0.773,0.625
-0.238,0.871,0.566
-0.156,1.121,0.492
-0.098,1.379,0.426
-0.074,1.422,0.406
-0.078,1.25,0.426
-0.094,1.012,0.48
-0.109,0.793,0.527
-0.102,0.707,0.516
-0.109,0.684,0.504
-0.129,0.609,0.531
-0.133,0.641,0.551
-0.152,0.719,0.547
-0.176,0.793,0.566
-0.207,0.824,0.578
-0.234,0.859,0.566
-0.297,0.793,0.535
-0.371,0.508,0.582
-0.43,0.129,0.68
-0.477,-0.078,0.75
-0.512,-0.152,0.828
-0.52,-0.117,0.879
-0.508,-0.012,0.875
-0.48,0.082,0.871
-0.48,0.176,0.848
-0.469,0.215,0.84
-0.445,0.227,0.813
-0.441,0.168,0.77
-0.457,0.066,0.734
-0.449,-0.004,0.707
-0.441,-0.027,0.691
-0.445,-0.047,0.695
-0.449,-0.023,0.711
-0.461,0.039,0.73
-0.473,0.105,0.766
-0.496,0.137,0.836
-0.504,0.121,0.891
-0.512,0.098,0.91
-0.527,0.102,0.891
-0.539,0.137,0.863
-0.539,0.176,0.828
-0.535,0.172,0.809
-0.527,0.211,0.781
-0.539,0.277,0.75
-0.57,0.324,0.734
-0.574,0.367,0.738
-0.566,0.387,0.734
-0.586,0.359,0.719
-0.605,0.285,0.738
-0.613,0.277,0.738
-0.605,0.313,0.754
-0.59,0.363,0.785
-0.555,0.426,0.828
-0.496,0.527,0.844
-0.438,0.621,0.785
-0.367,0.625,0.691
-0.367,0.484,0.609
-0.363,0.344,0.52
-0.387,0.25,0.391
-0.445,0.148,0.289
-0.449,0.074,0.219
-0.426,0.027,0.18
-0.418,0.027,0.18
-0.453,0.102,0.215
-0.457,0.234,0.32
-0.465,0.352,0.504
-0.465,0.457,0.605
-0.461,0.48,0.629
-0.477,0.398,0.629
-0.492,0.297,0.59
-0.477,0.242,0.563
