------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yy at 100 Hz  Filter Normal -----------
Serial Number: TAS1F27170049
Start Time 10:34:00
Start Date 8/2/18
Epoch Period (hh:mm:ss) 00:00:00
Download Time 10:36:30
Download Date 8/2/18
Current Memory Address: 0
Current Battery Voltage: 4.17     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
-0.805,0.09,0.012
-0.781,0.09,0.012
-0.773,0.094,0.02
-0.777,0.105,0.02
-0.793,0.117,0.02
-0.805,0.121,0.023
-0.809,0.125,0.023
-0.816,0.133,0.02
-0.828,0.137,0.023
-0.848,0.133,0.031
-0.863,0.141,0.035
-0.887,0.141,0.039
-0.906,0.133,0.039
-0.926,0.129,0.039
-0.949,0.125,0.035
-0.969,0.121,0.027
-0.98,0.113,0.023
-0.996,0.109,0.02
-1.004,0.109,0.012
-1.016,0.105,-0.004
-1.031,0.109,-0.012
-1.051,0.117,-0.012
-1.066,0.125,-0.016
-1.078,0.141,-0.023
-1.078,0.16,-0.023
-1.074,0.18,-0.02
-1.07,0.199,-0.02
-1.066,0.215,-0.016
-1.066,0.223,-0.016
-1.063,0.23,-0.016
-1.055,0.234,-0.016
-1.051,0.23,-0.016
-1.035,0.227,-0.016
-1.02,0.227,-0.016
-1.004,0.215,-0.016
-0.98,0.207,-0.016
-0.973,0.203,-0.012
-0.973,0.191,0
-0.973,0.168,0.008
-0.98,0.16,0.016
-0.98,0.152,0.023
-0.98,0.152,0.031
-0.977,0.223,0.02
-0.984,0.297,0.004
-1.008,0.273,0.039
-1.012,0.172,0.078
-1.012,0.066,0.121
-1.02,-0.07,0.164
-0.992,-0.18,0.199
-0.957,-0.238,0.195
-0.941,-0.281,0.188
-0.93,-0.313,0.191
-0.934,-0.324,0.18
-0.953,-0.32,0.188
-0.98,-0.313,0.211
-1,-0.301,0.238
-1.016,-0.281,0.25
-1.035,-0.27,0.254
-1.039,-0.254,0.258
-1.051,-0.238,0.258
-1.082,-0.215,0.258
-1.129,-0.184,0.242
-1.164,-0.133,0.195
-1.164,-0.055,0.117
-1.133,0.039,0.031
-1.082,0.121,-0.027
-1.031,0.188,-0.059
-1.027,0.246,-0.09
-1.047,0.297,-0.141
-1.082,0.336,-0.203
-1.113,0.355,-0.285
-1.133,0.359,-0.371
-1.125,0.398,-0.457
-1.121,0.453,-0.512
-1.133,0.496,-0.5
-1.16,0.484,-0.426
-1.234,0.34,-0.32
