------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yy at 100 Hz  Filter Normal -----------
Serial Number: TAS1F27170048
Start Time 10:34:00
Start Date 8/2/18
Epoch Period (hh:mm:ss) 00:00:00
Download Time 10:36:31
Download Date 8/2/18
Current Memory Address: 0
Current Battery Voltage: 4.1     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
0.02,0.887,0.488
0.051,0.883,0.5
0.078,0.906,0.508
0.102,0.961,0.52
0.133,1.012,0.535
0.168,1.063,0.547
0.199,1.113,0.563
0.227,1.141,0.566
0.254,1.156,0.57
0.277,1.148,0.566
0.289,1.141,0.563
0.297,1.125,0.566
0.285,1.09,0.57
0.277,1.055,0.586
0.277,1.004,0.598
0.27,0.949,0.613
0.254,0.891,0.629
0.246,0.836,0.637
0.246,0.797,0.629
0.254,0.773,0.613
0.25,0.762,0.609
0.246,0.758,0.609
0.258,0.746,0.582
0.273,0.746,0.555
0.277,0.758,0.543
0.273,0.766,0.531
0.273,0.758,0.539
0.273,0.727,0.543
0.266,0.695,0.547
0.258,0.664,0.543
0.254,0.641,0.531
0.242,0.621,0.516
0.23,0.598,0.496
0.223,0.582,0.473
0.211,0.57,0.457
0.199,0.578,0.441
0.199,0.598,0.441
0.203,0.637,0.43
0.211,0.676,0.438
0.23,0.719,0.453
0.246,0.75,0.461
0.27,0.758,0.473
0.289,0.746,0.473
0.305,0.715,0.465
0.324,0.688,0.453
0.359,0.68,0.453
0.398,0.691,0.469
0.445,0.688,0.465
0.492,0.633,0.484
0.551,0.566,0.523
0.605,0.508,0.543
0.66,0.422,0.547
0.684,0.348,0.535
0.672,0.27,0.5
0.645,0.199,0.453
0.605,0.129,0.402
0.559,0.035,0.344
0.516,-0.066,0.305
0.473,-0.164,0.27
0.441,-0.207,0.207
0.43,-0.188,0.133
0.441,-0.148,0.063
0.48,-0.105,-0.004
0.535,-0.063,-0.059
0.598,-0.039,-0.082
0.668,-0.023,-0.086
0.746,-0.008,-0.086
0.871,0.031,-0.078
1.023,0.125,-0.059
1.168,0.289,-0.078
1.293,0.508,-0.121
1.41,0.754,-0.148
1.488,0.918,-0.176
1.523,0.988,-0.211
1.523,1.012,-0.246
1.508,1.023,-0.273
1.484,1.023,-0.273
1.457,1.004,-0.27
1.43,0.973,-0.258
1.402,0.941,-0.238
1.379,0.914,-0.227
1.309,0.832,-0.305
1.238,0.563,-0.109
1.383,0.129,0.223
1.668,0.215,0.195
1.828,0.805,0.18
1.684,1.23,0.152
1.293,1.07,0.219
1.012,0.566,0.219
0.934,0.207,0.172
0.938,0.039,0.164
0.984,-0.027,0.195
1.039,0.039,0.172
1.063,0.156,0.137
1.035,0.211,0.125
0.992,0.164,0.129
0.957,0.074,0.125
0.93,0.02,0.121
0.941,0.023,0.117
0.98,0.074,0.117
1.016,0.125,0.117
1.039,0.172,0.113
1.035,0.223,0.102
1.02,0.258,0.082
1,0.273,0.066
0.984,0.277,0.055
0.977,0.289,0.035
0.969,0.313,0.023
0.957,0.328,0.023
0.957,0.34,0.02
0.961,0.34,0.023
0.969,0.332,0.031
0.973,0.324,0.035
0.98,0.316,0.027
0.984,0.309,0.031
0.988,0.285,0.02
0.984,0.258,0.004
0.977,0.234,-0.016
0.973,0.223,-0.023
0.977,0.211,-0.035
0.984,0.215,-0.039
0.996,0.23,-0.047
1.004,0.246,-0.059
1.008,0.254,-0.078
1.016,0.25,-0.105
1.023,0.254,-0.129
1.047,0.254,-0.152
1.066,0.254,-0.176
1.086,0.258,-0.199
1.137,0.258,-0.219
1.199,0.277,-0.215
1.254,0.32,-0.199
1.266,0.387,-0.176
1.23,0.465,-0.141
1.172,0.547,-0.113
1.098,0.617,-0.105
1.031,0.66,-0.117
0.98,0.672,-0.148
0.945,0.66,-0.18
0.93,0.625,-0.207
0.941,0.566,-0.238
0.977,0.512,-0.273
1.035,0.449,-0.297
1.102,0.398,-0.32
1.168,0.367,-0.34
1.242,0.363,-0.352
1.297,0.379,-0.348
1.316,0.395,-0.324
1.297,0.395,-0.305
1.27,0.402,-0.281
1.242,0.426,-0.262
1.242,0.43,-0.25
1.211,0.43,-0.25
1.168,0.41,-0.238
1.133,0.383,-0.227
1.102,0.355,-0.215
1.074,0.309,-0.203
1.059,0.273,-0.191
1.047,0.23,-0.172
1.035,0.207,-0.152
1.027,0.188,-0.141
1.02,0.172,-0.141
1.027,0.184,-0.152
1.039,0.191,-0.172
1.043,0.184,-0.18
1.039,0.172,-0.188
1.035,0.164,-0.191
1.035,0.168,-0.203
1.039,0.18,-0.219
1.043,0.191,-0.223
1.047,0.203,-0.227
1.059,0.203,-0.227
1.066,0.215,-0.227
1.066,0.211,-0.223
1.074,0.211,-0.211
1.086,0.215,-0.203
1.121,0.234,-0.188
1.156,0.254,-0.172
1.195,0.277,-0.16
1.234,0.297,-0.152
1.293,0.301,-0.141
1.371,0.285,-0.164
1.477,0.242,-0.191
1.555,0.195,-0.227
1.59,0.141,-0.258
1.57,0.102,-0.262
1.512,0.078,-0.242
1.426,0.09,-0.203
1.336,0.109,-0.156
1.266,0.137,-0.105
1.227,0.172,-0.051
1.195,0.207,-0.012
1.16,0.246,0.039
1.125,0.277,0.09
1.102,0.285,0.137
1.109,0.301,0.18
1.141,0.301,0.227
1.164,0.281,0.258
1.172,0.242,0.27
1.168,0.18,0.277
1.152,0.113,0.266
1.141,0.027,0.238
1.102,-0.066,0.211
1.031,-0.152,0.195
0.969,-0.223,0.199
0.918,-0.27,0.207
0.875,-0.297,0.203
0.82,-0.316,0.203
0.766,-0.316,0.199
0.695,-0.316,0.191
0.629,-0.289,0.184
0.582,-0.254,0.184
0.547,-0.223,0.188
0.535,-0.184,0.199
0.543,-0.145,0.203
0.559,-0.09,0.199
0.574,-0.039,0.184
0.582,0.004,0.164
0.594,0.035,0.141
0.602,0.063,0.113
0.617,0.082,0.078
0.648,0.098,0.047
0.688,0.113,0.016
0.727,0.133,-0.016
0.773,0.156,-0.043
0.82,0.18,-0.07
0.887,0.188,-0.094
0.973,0.203,-0.105
1.078,0.234,-0.105
1.184,0.266,-0.094
1.277,0.305,-0.063
1.375,0.336,-0.043
1.461,0.383,-0.043
1.523,0.414,-0.063
1.566,0.445,-0.094
1.582,0.465,-0.133
1.598,0.496,-0.176
1.602,0.551,-0.207
1.602,0.641,-0.203
1.59,0.781,-0.191
1.559,0.945,-0.156
1.504,1.082,-0.125
1.438,1.102,-0.117
1.375,0.969,-0.109
1.324,0.723,-0.09
1.289,0.461,-0.055
1.234,0.262,-0.039
1.176,0.117,-0.027
1.129,0.027,-0.016
1.105,-0.035,-0.023
1.098,-0.094,-0.035
1.121,-0.105,-0.012
1.129,-0.043,-0.012
1.129,0.035,-0.023
1.129,0.105,-0.043
1.121,0.168,-0.059
1.129,0.238,-0.086
1.18,0.324,-0.121
1.25,0.434,-0.148
1.316,0.563,-0.16
1.328,0.715,-0.152
1.297,0.891,-0.129
1.273,1.066,-0.113
1.273,1.215,-0.098
1.254,1.305,-0.086
1.184,1.313,-0.098
1.086,1.246,-0.121
1,1.105,-0.141
0.965,0.902,-0.152
0.969,0.684,-0.16
0.969,0.48,-0.164
0.965,0.309,-0.168
0.965,0.188,-0.16
0.977,0.105,-0.152
1.016,0.031,-0.141
1.07,-0.02,-0.125
1.129,-0.059,-0.105
1.199,-0.078,-0.094
1.262,-0.066,-0.078
1.316,-0.043,-0.082
1.359,-0.008,-0.078
1.379,0.02,-0.082
1.387,0.039,-0.086
1.395,0.055,-0.086
1.402,0.066,-0.078
1.406,0.082,-0.078
1.398,0.09,-0.082
1.379,0.098,-0.094
1.352,0.105,-0.098
1.324,0.102,-0.105
1.297,0.098,-0.117
1.273,0.098,-0.125
1.246,0.094,-0.133
1.215,0.094,-0.148
1.188,0.098,-0.172
1.152,0.105,-0.188
1.125,0.125,-0.203
1.094,0.145,-0.219
1.066,0.164,-0.234
1.047,0.188,-0.246
1.012,0.215,-0.25
0.992,0.23,-0.254
0.965,0.246,-0.254
0.938,0.262,-0.238
0.91,0.273,-0.227
0.887,0.281,-0.199
0.852,0.285,-0.172
0.824,0.285,-0.141
0.797,0.27,-0.113
0.758,0.242,-0.086
0.715,0.215,-0.055
0.68,0.195,-0.027
0.656,0.172,0.004
0.637,0.145,0.043
0.621,0.113,0.07
0.621,0.078,0.082
0.621,0.039,0.078
0.625,-0.008,0.059
0.645,-0.051,0.047
0.68,-0.082,0.023
0.742,-0.098,0.008
0.813,-0.109,-0.004
0.875,-0.094,-0.016
0.922,-0.066,-0.008
0.965,-0.035,0.004
1.012,0,0.016
1.074,0.023,0.012
1.168,0.051,0.016
1.273,0.086,0.008
1.367,0.137,0.008
1.438,0.199,0.012
1.484,0.27,0.031
1.5,0.328,0.055
1.473,0.383,0.082
1.434,0.43,0.105
1.387,0.461,0.133
1.352,0.469,0.148
1.336,0.449,0.145
1.348,0.426,0.125
1.367,0.391,0.098
1.387,0.344,0.051
1.371,0.289,-0.07
1.445,0.145,0.105
1.586,-0.051,0.191
1.563,0.164,-0.082
1.414,0.352,0.039
1.23,0.074,0.211
1.172,-0.211,0.18
1.164,-0.16,0.059
1.141,0.102,-0.137
1.074,0.371,-0.227
1.004,0.434,-0.23
0.953,0.348,-0.238
0.934,0.254,-0.234
0.914,0.219,-0.238
0.883,0.234,-0.242
0.848,0.258,-0.246
0.828,0.27,-0.254
0.82,0.273,-0.262
0.809,0.262,-0.277
0.797,0.25,-0.289
0.781,0.234,-0.293
0.762,0.227,-0.293
0.742,0.223,-0.293
0.727,0.234,-0.285
0.719,0.242,-0.27
0.719,0.262,-0.262
0.73,0.273,-0.254
0.75,0.285,-0.238
0.766,0.293,-0.227
0.766,0.293,-0.211
0.762,0.297,-0.191
0.766,0.309,-0.172
0.781,0.316,-0.156
0.793,0.324,-0.145
0.805,0.332,-0.129
0.82,0.336,-0.105
0.852,0.34,-0.098
0.898,0.344,-0.098
0.941,0.348,-0.098
0.98,0.355,-0.094
1.004,0.375,-0.09
1.031,0.398,-0.07
1.059,0.414,-0.047
1.078,0.418,-0.031
1.09,0.414,-0.012
1.102,0.398,-0.004
1.121,0.359,-0.004
1.137,0.32,0.012
1.145,0.293,0.027
1.137,0.273,0.039
1.113,0.258,0.043
1.098,0.23,0.047
1.109,0.191,0.039
1.145,0.176,0.039
1.188,0.168,0.039
1.215,0.191,0.039
1.227,0.238,0.043
1.246,0.293,0.055
1.293,0.367,0.078
1.344,0.445,0.105
1.363,0.531,0.133
1.32,0.598,0.148
1.266,0.645,0.152
1.227,0.664,0.152
1.211,0.656,0.156
1.203,0.617,0.152
1.184,0.551,0.145
1.172,0.469,0.141
1.172,0.383,0.129
1.18,0.297,0.117
1.188,0.215,0.098
1.188,0.145,0.082
1.18,0.094,0.07
1.164,0.059,0.055
1.152,0.039,0.031
1.129,0.035,0.016
1.105,0.055,0.004
1.078,0.074,-0.004
1.051,0.086,-0.008
1.031,0.105,-0.016
1.023,0.121,-0.023
1.016,0.137,-0.039
1.012,0.156,-0.055
1.008,0.168,-0.063
1,0.18,-0.078
1,0.199,-0.086
1.004,0.219,-0.094
1.008,0.238,-0.102
1.004,0.254,-0.109
1.004,0.266,-0.113
0.988,0.27,-0.117
0.969,0.27,-0.121
0.941,0.27,-0.121
0.906,0.262,-0.121
0.863,0.262,-0.121
0.824,0.25,-0.117
0.789,0.234,-0.113
0.766,0.227,-0.117
0.738,0.223,-0.117
0.723,0.215,-0.121
0.727,0.199,-0.133
0.742,0.188,-0.137
0.75,0.191,-0.145
0.754,0.191,-0.145
0.762,0.195,-0.137
0.773,0.195,-0.145
0.789,0.199,-0.152
0.805,0.207,-0.156
0.832,0.215,-0.164
0.84,0.219,-0.176
0.848,0.215,-0.168
