------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yy at 100 Hz  Filter Normal -----------
Serial Number: TAS1E52150597
Start Time 09:13:00
Start Date 8/5/18
Epoch Period (hh:mm:ss) 00:00:00
Download Time 09:17:37
Download Date 8/5/18
Current Memory Address: 0
Current Battery Voltage: 4.14     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
0.883,0.246,0.086
0.91,0.242,0.074
0.941,0.23,0.047
0.973,0.219,0.02
0.996,0.215,0.008
1.02,0.207,0.004
1.047,0.207,0.02
1.078,0.227,0.035
1.086,0.23,0.047
1.066,0.242,0.063
1.051,0.238,0.063
1.051,0.227,0.055
1.063,0.223,0.039
1.082,0.234,0.031
1.105,0.262,0.012
1.125,0.266,0.004
1.137,0.273,0.004
1.133,0.281,0.008
1.113,0.27,0.02
1.09,0.254,0.031
1.063,0.227,0.035
1.051,0.203,0.027
1.078,0.191,0.012
1.141,0.176,-0.004
1.176,0.168,-0.008
1.168,0.176,-0.012
1.102,0.195,-0.004
1.02,0.199,0.02
0.934,0.195,0.051
0.855,0.188,0.078
0.793,0.188,0.105
0.766,0.176,0.125
0.754,0.172,0.148
0.773,0.176,0.18
0.801,0.199,0.219
0.828,0.223,0.25
0.848,0.246,0.277
0.875,0.254,0.316
0.895,0.246,0.348
0.902,0.234,0.363
0.91,0.223,0.367
0.922,0.195,0.363
0.922,0.148,0.348
0.918,0.105,0.316
0.91,0.082,0.277
0.891,0.07,0.254
0.875,0.074,0.246
0.863,0.102,0.246
0.855,0.137,0.27
0.84,0.152,0.297
0.828,0.18,0.316
0.836,0.203,0.328
0.848,0.223,0.328
0.852,0.227,0.316
0.867,0.23,0.281
0.883,0.254,0.254
0.902,0.281,0.23
0.926,0.316,0.219
0.945,0.348,0.227
0.961,0.379,0.238
0.965,0.41,0.262
0.969,0.426,0.293
0.961,0.422,0.316
0.953,0.414,0.336
0.957,0.41,0.355
0.973,0.414,0.367
1.004,0.43,0.363
1.047,0.449,0.363
1.098,0.469,0.367
1.145,0.484,0.379
1.184,0.488,0.395
1.207,0.496,0.398
1.219,0.504,0.406
1.219,0.508,0.402
1.211,0.5,0.383
1.211,0.5,0.375
1.207,0.496,0.371
1.191,0.508,0.367
1.168,0.531,0.355
1.129,0.531,0.328
1.125,0.512,0.305
1.16,0.496,0.285
1.219,0.52,0.27
1.273,0.555,0.246
1.301,0.605,0.238
1.289,0.652,0.238
1.254,0.691,0.234
1.223,0.73,0.207
1.215,0.758,0.18
1.238,0.758,0.148
1.277,0.727,0.125
1.316,0.695,0.105
1.34,0.684,0.094
1.336,0.66,0.098
1.309,0.629,0.094
1.273,0.602,0.086
1.242,0.559,0.09
1.203,0.5,0.09
1.168,0.434,0.086
1.137,0.383,0.082
1.094,0.348,0.082
1.066,0.32,0.078
1.055,0.309,0.07
1.051,0.297,0.066
1.051,0.297,0.051
1.047,0.297,0.027
1.035,0.293,0.012
1.023,0.273,0
1.004,0.258,-0.012
0.98,0.262,-0.02
0.965,0.266,-0.023
0.934,0.25,-0.023
0.914,0.242,-0.023
0.906,0.23,-0.023
0.902,0.23,-0.027
0.895,0.234,-0.031
0.887,0.23,-0.043
0.879,0.227,-0.051
0.867,0.223,-0.055
0.852,0.215,-0.055
0.836,0.215,-0.047
0.816,0.223,-0.039
0.801,0.223,-0.043
0.797,0.23,-0.051
0.797,0.23,-0.055
0.809,0.227,-0.066
0.824,0.219,-0.078
0.844,0.215,-0.082
0.871,0.215,-0.066
0.887,0.207,-0.047
0.91,0.203,-0.023
0.938,0.207,0
0.953,0.215,0.023
0.949,0.219,0.031
0.953,0.211,0.023
0.988,0.195,0.008
1.047,0.176,-0.008
1.113,0.16,-0.016
1.152,0.156,-0.012
1.156,0.176,0.012
1.109,0.191,0.051
1.02,0.219,0.109
0.914,0.246,0.16
0.832,0.258,0.199
0.801,0.266,0.223
0.824,0.258,0.238
0.883,0.25,0.27
0.953,0.242,0.301
1.016,0.234,0.344
1.086,0.234,0.387
1.125,0.23,0.422
1.152,0.203,0.449
1.152,0.18,0.461
1.137,0.156,0.453
1.105,0.113,0.441
1.086,0.066,0.418
1.055,0.043,0.387
1.023,0.027,0.363
1,0.023,0.344
0.984,0.043,0.34
0.973,0.07,0.336
0.969,0.105,0.336
0.949,0.148,0.32
0.938,0.199,0.301
0.934,0.242,0.277
0.926,0.273,0.246
0.922,0.309,0.211
0.918,0.348,0.184
0.918,0.383,0.156
0.914,0.414,0.137
0.926,0.441,0.137
0.945,0.465,0.156
0.953,0.48,0.18
0.945,0.484,0.199
0.938,0.477,0.215
0.93,0.465,0.23
0.926,0.445,0.238
0.922,0.422,0.254
0.918,0.406,0.273
0.938,0.402,0.301
0.961,0.414,0.332
0.992,0.434,0.355
1.027,0.465,0.379
1.063,0.5,0.398
1.094,0.516,0.41
1.121,0.523,0.426
1.137,0.527,0.438
1.156,0.527,0.445
1.18,0.527,0.449
1.195,0.527,0.445
1.199,0.523,0.441
1.191,0.516,0.438
1.176,0.504,0.434
1.18,0.504,0.426
1.227,0.516,0.414
1.293,0.531,0.406
1.34,0.563,0.387
1.348,0.598,0.375
1.316,0.625,0.371
1.266,0.652,0.367
1.203,0.664,0.344
1.152,0.66,0.324
1.145,0.641,0.301
1.164,0.617,0.277
1.207,0.609,0.266
1.246,0.617,0.254
1.281,0.621,0.25
1.305,0.617,0.246
1.313,0.602,0.242
1.297,0.574,0.23
1.277,0.527,0.215
1.262,0.48,0.203
1.25,0.441,0.191
1.234,0.414,0.18
1.215,0.391,0.168
1.199,0.375,0.152
1.184,0.359,0.145
1.172,0.344,0.129
1.152,0.328,0.113
1.137,0.32,0.094
1.117,0.305,0.078
1.098,0.289,0.066
1.074,0.277,0.055
1.063,0.277,0.039
1.055,0.27,0.023
1.043,0.266,0.012
1.027,0.262,0.004
1.016,0.262,0.004
1.004,0.254,0.004
0.992,0.254,0
0.961,0.25,0.004
0.938,0.238,0.004
0.914,0.227,0.008
0.883,0.215,0.008
0.84,0.203,0.016
0.801,0.195,0.023
0.777,0.184,0.035
0.754,0.172,0.051
0.73,0.16,0.063
0.711,0.145,0.07
0.703,0.137,0.078
0.703,0.137,0.078
0.707,0.133,0.082
0.711,0.121,0.078
0.711,0.109,0.074
0.711,0.098,0.066
0.719,0.102,0.063
0.715,0.098,0.066
0.707,0.098,0.07
0.707,0.102,0.078
0.691,0.113,0.09
0.684,0.117,0.113
0.668,0.121,0.129
0.664,0.113,0.137
0.691,0.094,0.145
0.762,0.09,0.152
0.848,0.098,0.164
0.926,0.105,0.18
0.98,0.125,0.195
1.023,0.148,0.219
1.055,0.16,0.246
1.082,0.164,0.27
1.121,0.148,0.27
1.176,0.125,0.273
1.254,0.113,0.277
1.34,0.113,0.297
1.438,0.141,0.316
1.527,0.191,0.332
1.602,0.266,0.34
1.648,0.34,0.336
1.648,0.402,0.328
1.602,0.457,0.316
1.531,0.496,0.309
1.457,0.523,0.305
1.383,0.531,0.281
1.305,0.523,0.258
1.234,0.504,0.258
1.168,0.469,0.266
1.121,0.43,0.277
1.074,0.406,0.285
1.023,0.395,0.27
0.984,0.395,0.254
0.949,0.395,0.223
0.918,0.398,0.188
0.891,0.398,0.152
0.875,0.41,0.109
0.867,0.422,0.07
0.863,0.441,0.043
0.863,0.453,0.027
0.871,0.477,0.016
0.871,0.5,0.016
0.875,0.516,0.027
0.891,0.543,0.035
0.895,0.57,0.055
0.883,0.578,0.066
0.863,0.582,0.086
0.844,0.582,0.109
0.832,0.578,0.133
0.836,0.582,0.156
0.848,0.594,0.203
0.855,0.594,0.258
0.883,0.578,0.309
0.914,0.559,0.371
0.941,0.555,0.41
0.969,0.543,0.418
1,0.535,0.41
1.059,0.559,0.418
1.121,0.582,0.422
1.164,0.578,0.426
1.164,0.543,0.434
1.148,0.504,0.43
1.141,0.461,0.426
1.141,0.414,0.422
1.18,0.383,0.414
1.258,0.387,0.414
1.34,0.449,0.414
1.387,0.531,0.414
1.391,0.609,0.406
1.371,0.688,0.391
1.352,0.758,0.367
1.348,0.797,0.348
1.355,0.801,0.34
1.395,0.797,0.336
1.457,0.801,0.34
1.539,0.777,0.359
1.613,0.734,0.367
1.664,0.68,0.371
1.695,0.641,0.371
1.715,0.613,0.379
1.727,0.59,0.391
1.734,0.555,0.41
1.75,0.52,0.43
1.758,0.484,0.449
1.758,0.473,0.461
1.754,0.457,0.469
1.734,0.449,0.473
1.707,0.422,0.477
1.672,0.391,0.488
1.621,0.363,0.496
1.57,0.344,0.492
1.512,0.332,0.484
1.449,0.332,0.465
1.395,0.332,0.438
1.324,0.328,0.426
1.25,0.309,0.418
1.184,0.27,0.41
1.105,0.246,0.406
1.039,0.238,0.402
0.969,0.211,0.391
0.887,0.164,0.367
0.781,0.113,0.348
0.672,0.055,0.332
0.566,0.012,0.316
0.484,-0.004,0.32
0.422,0.004,0.32
0.379,0.031,0.328
0.355,0.059,0.328
0.332,0.063,0.32
0.305,0.074,0.309
0.273,0.078,0.285
0.238,0.051,0.293
0.207,-0.004,0.277
0.195,-0.031,0.281
0.188,-0.063,0.273
0.152,-0.063,0.27
0.137,-0.039,0.332
0.145,-0.027,0.426
0.141,-0.043,0.555
0.145,-0.074,0.719
0.156,-0.117,0.824
0.133,-0.129,0.844
0.094,-0.105,0.836
0.09,-0.023,0.824
0.105,0.043,0.836
0.113,0.051,0.895
0.148,0.047,1.016
0.148,0.215,1.063
0.164,0.32,1.141
0.035,0.559,1.16
0.148,0.805,1.238
-0.102,0.859,1.172
-0.188,0.367,1.258
-0.277,0.016,1.301
-0.344,-0.223,1.289
-0.359,-0.375,1.23
-0.328,-0.285,1.109
-0.297,0.082,1.012
-0.32,0.367,1.008
-0.402,0.023,1.039
-0.414,-0.301,0.977
-0.402,-0.203,0.91
-0.422,-0.219,0.871
-0.453,-0.25,0.867
-0.488,-0.234,0.875
-0.52,-0.266,0.867
-0.539,-0.211,0.883
-0.547,-0.234,0.891
-0.539,-0.254,0.895
-0.527,-0.258,0.879
-0.523,-0.254,0.855
-0.531,-0.273,0.855
-0.527,-0.266,0.863
-0.52,-0.293,0.883
-0.508,-0.297,0.898
-0.492,-0.313,0.918
-0.484,-0.328,0.93
-0.473,-0.328,0.914
-0.48,-0.324,0.871
-0.492,-0.309,0.844
-0.523,-0.297,0.836
-0.555,-0.281,0.848
-0.574,-0.297,0.863
-0.574,-0.328,0.867
-0.563,-0.328,0.859
-0.543,-0.332,0.848
-0.539,-0.352,0.836
-0.535,-0.355,0.82
-0.527,-0.344,0.82
-0.531,-0.332,0.828
-0.531,-0.344,0.832
-0.531,-0.359,0.84
-0.516,-0.355,0.848
-0.504,-0.352,0.84
-0.492,-0.375,0.84
-0.484,-0.367,0.848
-0.477,-0.375,0.852
-0.469,-0.359,0.844
-0.461,-0.375,0.855
-0.465,-0.391,0.871
-0.492,-0.371,0.883
-0.531,-0.379,0.879
-0.543,-0.336,0.863
-0.547,-0.316,0.848
-0.555,-0.297,0.828
-0.559,-0.285,0.809
