------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yy at 100 Hz  Filter Normal -----------
Serial Number: TAS1E52150596
Start Time 09:13:00
Start Date 8/5/18
Epoch Period (hh:mm:ss) 00:00:00
Download Time 09:17:37
Download Date 8/5/18
Current Memory Address: 0
Current Battery Voltage: 4.1     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
-0.605,0.137,-0.051
-0.574,0.129,-0.035
-0.555,0.117,-0.023
-0.531,0.113,-0.004
-0.508,0.109,0
-0.473,0.113,0.008
-0.438,0.105,0.023
-0.406,0.102,0.035
-0.383,0.094,0.039
-0.375,0.086,0.035
-0.383,0.078,0.031
-0.406,0.066,0.023
-0.438,0.055,0.016
-0.469,0.043,0.012
-0.508,0.055,0.004
-0.539,0.066,-0.004
-0.566,0.082,-0.012
-0.586,0.09,-0.016
-0.594,0.105,-0.016
-0.613,0.117,-0.016
-0.641,0.125,-0.023
-0.684,0.129,-0.023
-0.727,0.133,-0.02
-0.758,0.141,-0.012
-0.785,0.145,-0.008
-0.84,0.141,-0.008
-0.938,0.141,-0.012
-1.07,0.145,-0.02
-1.223,0.164,-0.023
-1.359,0.191,-0.027
-1.477,0.211,-0.027
-1.559,0.242,-0.016
-1.605,0.273,-0.004
-1.648,0.309,0.035
-1.695,0.355,0.078
-1.73,0.43,0.125
-1.762,0.52,0.18
-1.762,0.609,0.234
-1.727,0.68,0.246
-1.672,0.699,0.203
-1.582,0.629,0.152
-1.48,0.465,0.113
-1.379,0.234,0.121
-1.27,0.023,0.176
-1.172,-0.129,0.254
-1.098,-0.223,0.313
-1.063,-0.254,0.359
-1.047,-0.23,0.383
-1.027,-0.176,0.391
-1.004,-0.109,0.391
-0.98,-0.027,0.383
-0.938,0.059,0.371
-0.91,0.148,0.34
-0.895,0.223,0.301
-0.887,0.285,0.266
-0.879,0.336,0.238
-0.859,0.363,0.223
-0.848,0.391,0.227
-0.84,0.402,0.242
-0.844,0.395,0.266
-0.855,0.371,0.305
-0.871,0.34,0.328
-0.887,0.305,0.336
-0.898,0.27,0.348
-0.906,0.242,0.363
-0.91,0.207,0.387
-0.914,0.188,0.406
-0.922,0.172,0.41
-0.93,0.16,0.398
-0.941,0.148,0.387
-0.965,0.145,0.367
-0.992,0.137,0.355
-1.027,0.152,0.348
-1.047,0.168,0.344
-1.066,0.184,0.34
-1.098,0.195,0.34
-1.137,0.203,0.324
-1.18,0.203,0.301
-1.227,0.207,0.277
-1.277,0.195,0.246
-1.363,0.18,0.219
-1.484,0.152,0.188
-1.598,0.152,0.164
-1.676,0.16,0.164
-1.672,0.191,0.18
-1.586,0.238,0.219
-1.457,0.273,0.254
-1.336,0.289,0.246
-1.262,0.281,0.199
-1.258,0.246,0.129
-1.309,0.199,0.066
-1.371,0.16,0.012
-1.426,0.152,-0.023
-1.449,0.164,-0.035
-1.449,0.191,-0.02
-1.43,0.219,-0.004
-1.391,0.238,0.004
-1.348,0.242,0.008
-1.301,0.234,0.02
-1.266,0.211,0.023
-1.246,0.18,0.031
-1.203,0.145,0.027
-1.164,0.113,0.031
-1.125,0.09,0.035
-1.078,0.074,0.039
-1.039,0.063,0.039
-1.004,0.059,0.031
-0.973,0.059,0.02
-0.945,0.059,0.012
-0.926,0.066,-0.004
-0.902,0.074,-0.02
-0.879,0.086,-0.023
-0.855,0.094,-0.035
-0.828,0.113,-0.043
-0.805,0.129,-0.051
-0.777,0.137,-0.055
-0.762,0.148,-0.055
-0.734,0.16,-0.051
-0.715,0.172,-0.043
-0.691,0.176,-0.043
-0.672,0.184,-0.039
-0.641,0.188,-0.035
-0.617,0.184,-0.039
-0.598,0.176,-0.039
-0.582,0.164,-0.043
-0.582,0.156,-0.047
-0.59,0.152,-0.051
-0.598,0.145,-0.047
-0.617,0.137,-0.035
-0.648,0.129,-0.027
-0.672,0.117,-0.023
-0.684,0.113,-0.023
-0.695,0.105,-0.023
-0.711,0.102,-0.02
-0.719,0.094,-0.02
-0.723,0.09,-0.016
-0.723,0.094,-0.008
-0.734,0.102,-0.016
-0.785,0.105,-0.027
-0.871,0.113,-0.039
-0.965,0.125,-0.043
-1.043,0.148,-0.035
-1.09,0.172,-0.008
-1.098,0.203,0.027
-1.074,0.234,0.063
-1.043,0.25,0.086
-1.031,0.25,0.078
-1.055,0.23,0.066
-1.105,0.219,0.051
-1.172,0.219,0.063
-1.246,0.234,0.09
-1.281,0.266,0.129
-1.309,0.313,0.16
-1.324,0.348,0.168
-1.336,0.383,0.172
-1.344,0.406,0.168
-1.348,0.418,0.148
-1.34,0.402,0.129
-1.32,0.352,0.117
-1.277,0.266,0.129
-1.238,0.152,0.16
-1.199,0.051,0.188
-1.164,-0.023,0.219
-1.145,-0.074,0.254
-1.129,-0.102,0.281
-1.105,-0.098,0.297
-1.082,-0.066,0.289
-1.047,-0.035,0.277
-1.027,0.008,0.27
-1.016,0.07,0.254
-1.012,0.137,0.246
-1.016,0.207,0.246
-1.023,0.27,0.258
-1.031,0.324,0.27
-1.035,0.375,0.281
-1.035,0.41,0.293
-1.027,0.43,0.305
-1.012,0.414,0.313
-0.992,0.383,0.324
-0.965,0.348,0.348
-0.945,0.309,0.363
-0.934,0.27,0.383
-0.93,0.227,0.402
-0.941,0.184,0.418
-0.957,0.148,0.422
-0.988,0.125,0.422
-1.023,0.117,0.418
-1.059,0.113,0.395
-1.098,0.117,0.375
-1.148,0.129,0.355
-1.203,0.156,0.34
-1.258,0.18,0.32
-1.309,0.195,0.301
-1.34,0.207,0.293
-1.355,0.203,0.273
-1.352,0.195,0.246
-1.328,0.176,0.223
-1.289,0.141,0.184
-1.27,0.102,0.145
-1.293,0.082,0.133
-1.367,0.082,0.129
-1.445,0.109,0.145
-1.488,0.152,0.18
-1.477,0.211,0.223
-1.418,0.273,0.27
-1.348,0.332,0.273
-1.309,0.363,0.238
-1.32,0.363,0.18
-1.371,0.344,0.121
-1.434,0.305,0.078
-1.492,0.277,0.043
-1.535,0.266,0.023
-1.563,0.27,0.012
-1.578,0.27,-0.004
-1.566,0.27,-0.023
-1.523,0.242,-0.039
-1.457,0.199,-0.047
-1.395,0.145,-0.047
-1.336,0.094,-0.043
-1.285,0.051,-0.039
-1.238,0.012,-0.031
-1.188,-0.012,-0.027
-1.137,-0.027,-0.016
-1.098,-0.031,-0.008
-1.055,-0.02,-0.008
-1.012,-0.008,-0.012
-0.977,0.008,-0.027
-0.945,0.02,-0.035
-0.906,0.043,-0.043
-0.875,0.066,-0.059
-0.844,0.09,-0.074
-0.813,0.117,-0.086
-0.789,0.137,-0.09
-0.77,0.164,-0.086
-0.754,0.184,-0.07
-0.738,0.207,-0.055
-0.73,0.227,-0.051
-0.719,0.234,-0.055
-0.695,0.242,-0.07
-0.656,0.246,-0.074
-0.613,0.246,-0.063
-0.586,0.234,-0.063
-0.57,0.207,-0.07
-0.574,0.18,-0.082
-0.578,0.148,-0.098
-0.574,0.121,-0.105
-0.57,0.09,-0.098
-0.57,0.066,-0.074
-0.57,0.066,-0.043
-0.57,0.066,-0.027
-0.578,0.07,-0.016
-0.57,0.063,-0.008
-0.566,0.063,-0.008
-0.57,0.063,-0.004
-0.566,0.078,0.008
-0.582,0.105,0.023
-0.598,0.129,0.039
-0.625,0.145,0.051
-0.695,0.141,0.043
-0.805,0.137,0.043
-0.926,0.141,0.043
-1.023,0.168,0.051
-1.066,0.207,0.078
-1.055,0.258,0.121
-1.012,0.273,0.156
-0.98,0.27,0.164
-1,0.246,0.152
-1.066,0.23,0.145
-1.156,0.227,0.164
-1.242,0.246,0.203
-1.313,0.285,0.254
-1.367,0.328,0.289
-1.414,0.379,0.301
-1.465,0.422,0.289
-1.488,0.461,0.25
-1.492,0.492,0.211
-1.488,0.48,0.199
-1.461,0.41,0.184
-1.43,0.266,0.18
-1.383,0.09,0.18
-1.336,-0.07,0.203
-1.273,-0.176,0.23
-1.211,-0.23,0.258
-1.16,-0.242,0.281
-1.133,-0.219,0.301
-1.109,-0.164,0.305
-1.082,-0.098,0.316
-1.063,-0.043,0.336
-1.043,0.031,0.359
-1.027,0.117,0.359
-1.016,0.211,0.344
-1.02,0.297,0.328
-1.023,0.379,0.316
-1.031,0.449,0.313
-1.039,0.5,0.32
-1.039,0.527,0.332
-1.035,0.531,0.336
-1.016,0.504,0.34
-1,0.469,0.352
-0.98,0.438,0.367
-0.98,0.402,0.375
-0.973,0.367,0.379
-0.984,0.328,0.387
-1.012,0.297,0.395
-1.039,0.273,0.387
-1.051,0.262,0.379
-1.059,0.27,0.363
-1.063,0.281,0.352
-1.074,0.285,0.344
-1.098,0.305,0.332
-1.129,0.313,0.32
-1.156,0.309,0.313
-1.18,0.297,0.305
-1.199,0.266,0.293
-1.207,0.219,0.273
-1.211,0.172,0.23
-1.246,0.125,0.191
-1.34,0.066,0.156
-1.496,0.027,0.148
-1.688,0.02,0.168
-1.84,0.039,0.199
-1.898,0.059,0.242
-1.852,0.078,0.262
-1.742,0.082,0.246
-1.645,0.086,0.18
-1.57,0.074,0.086
-1.512,0.063,-0.004
-1.453,0.039,-0.074
-1.406,0.012,-0.117
-1.379,-0.004,-0.145
-1.367,-0.008,-0.176
-1.359,0.008,-0.199
-1.348,0.035,-0.215
-1.328,0.07,-0.227
-1.297,0.117,-0.234
-1.254,0.172,-0.23
-1.199,0.211,-0.23
-1.129,0.246,-0.227
-1.063,0.266,-0.23
-1.012,0.273,-0.234
-0.988,0.273,-0.25
-0.973,0.258,-0.27
-0.961,0.234,-0.285
-0.949,0.227,-0.301
-0.945,0.211,-0.324
-0.941,0.199,-0.34
-0.926,0.184,-0.348
-0.91,0.168,-0.363
-0.895,0.152,-0.375
-0.887,0.137,-0.383
-0.898,0.129,-0.387
-0.891,0.121,-0.379
-0.887,0.121,-0.371
-0.867,0.125,-0.34
-0.84,0.133,-0.305
-0.828,0.145,-0.27
-0.836,0.148,-0.246
-0.848,0.137,-0.25
-0.855,0.129,-0.25
-0.844,0.125,-0.246
-0.816,0.113,-0.23
-0.785,0.109,-0.211
-0.766,0.117,-0.195
-0.742,0.125,-0.172
-0.719,0.133,-0.145
-0.695,0.145,-0.117
-0.68,0.156,-0.098
-0.672,0.16,-0.074
-0.668,0.164,-0.059
-0.668,0.172,-0.043
-0.68,0.172,-0.02
-0.691,0.184,0.008
-0.703,0.191,0.039
-0.711,0.199,0.074
-0.723,0.199,0.102
-0.738,0.195,0.125
-0.754,0.188,0.141
-0.781,0.176,0.16
-0.82,0.156,0.168
-0.855,0.141,0.176
-0.891,0.113,0.195
-0.93,0.094,0.203
-0.957,0.078,0.195
-0.973,0.051,0.199
-0.984,0.027,0.207
-0.992,0.012,0.207
-1.016,-0.008,0.188
-1.066,-0.02,0.16
-1.137,-0.02,0.148
-1.211,-0.008,0.152
-1.27,0.031,0.152
-1.313,0.078,0.164
-1.328,0.125,0.18
-1.316,0.176,0.223
-1.285,0.223,0.273
-1.25,0.262,0.309
-1.219,0.293,0.313
-1.203,0.293,0.309
-1.191,0.266,0.293
-1.184,0.242,0.266
-1.18,0.223,0.242
-1.184,0.191,0.254
-1.203,0.16,0.309
-1.242,0.098,0.328
-1.277,0.031,0.305
-1.293,-0.043,0.273
-1.277,-0.105,0.25
-1.25,-0.133,0.234
-1.238,-0.121,0.223
-1.23,-0.098,0.215
-1.227,-0.055,0.215
-1.211,-0.023,0.215
-1.195,0.012,0.23
-1.172,0.055,0.238
-1.145,0.098,0.246
-1.102,0.125,0.246
-1.055,0.145,0.242
-1.008,0.164,0.227
-0.98,0.168,0.207
-0.957,0.18,0.18
-0.938,0.184,0.164
-0.938,0.168,0.148
-0.941,0.152,0.133
-0.941,0.148,0.113
-0.941,0.152,0.09
-0.926,0.148,0.086
-0.902,0.141,0.086
