------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yy at 100 Hz  Filter Normal -----------
Serial Number: TAS1F27170049
Start Time 10:24:00
Start Date 8/2/18
Epoch Period (hh:mm:ss) 00:00:00
Download Time 10:25:36
Download Date 8/2/18
Current Memory Address: 0
Current Battery Voltage: 4.18     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
0.426,0.719,0.699
0.438,0.691,0.695
0.445,0.668,0.691
0.449,0.648,0.688
0.453,0.637,0.691
0.465,0.629,0.691
0.48,0.637,0.691
0.496,0.641,0.691
0.512,0.633,0.691
0.527,0.621,0.699
0.535,0.609,0.699
0.543,0.598,0.691
0.551,0.605,0.672
0.559,0.598,0.652
0.551,0.586,0.633
0.551,0.57,0.609
0.547,0.563,0.59
0.547,0.555,0.57
0.551,0.543,0.559
0.551,0.547,0.555
0.559,0.563,0.555
0.563,0.586,0.551
0.559,0.605,0.551
0.551,0.613,0.547
0.543,0.621,0.547
0.531,0.621,0.543
0.523,0.621,0.547
0.52,0.625,0.555
0.516,0.625,0.559
0.504,0.629,0.578
0.504,0.637,0.59
0.508,0.648,0.605
0.512,0.656,0.617
0.512,0.656,0.629
0.516,0.656,0.641
0.516,0.645,0.645
0.512,0.637,0.656
0.508,0.633,0.664
0.504,0.625,0.668
0.5,0.621,0.668
0.5,0.621,0.672
0.5,0.605,0.668
0.496,0.598,0.664
0.492,0.594,0.664
0.496,0.602,0.668
0.508,0.625,0.668
0.512,0.637,0.668
0.52,0.645,0.668
0.523,0.641,0.672
0.52,0.633,0.672
0.508,0.621,0.668
0.508,0.609,0.664
0.504,0.605,0.66
0.504,0.598,0.66
0.504,0.594,0.656
0.504,0.59,0.656
0.504,0.59,0.652
0.5,0.594,0.656
0.488,0.594,0.645
0.484,0.59,0.637
0.473,0.586,0.633
0.465,0.59,0.617
0.469,0.59,0.605
0.461,0.59,0.602
0.457,0.602,0.594
0.457,0.609,0.586
0.457,0.617,0.582
0.461,0.629,0.578
0.461,0.637,0.574
0.465,0.648,0.57
0.473,0.664,0.566
0.473,0.68,0.547
0.473,0.691,0.539
0.469,0.699,0.523
0.473,0.723,0.508
0.484,0.746,0.488
0.496,0.758,0.461
0.504,0.762,0.441
0.512,0.762,0.414
0.512,0.758,0.387
0.516,0.762,0.363
0.523,0.781,0.332
0.52,0.816,0.293
0.52,0.848,0.266
0.531,0.879,0.242
0.539,0.879,0.227
0.555,0.859,0.211
0.547,0.824,0.203
0.52,0.789,0.199
0.488,0.754,0.207
0.48,0.738,0.223
0.477,0.754,0.238
0.48,0.773,0.25
0.492,0.793,0.266
0.488,0.809,0.277
0.48,0.82,0.285
0.473,0.84,0.289
0.473,0.848,0.273
0.465,0.859,0.262
0.457,0.859,0.254
0.438,0.867,0.25
0.441,0.875,0.242
0.445,0.871,0.238
0.449,0.863,0.238
0.438,0.84,0.25
0.438,0.832,0.266
0.445,0.859,0.27
0.449,0.914,0.273
0.453,0.953,0.281
0.457,0.957,0.301
0.457,0.953,0.32
0.445,0.945,0.332
0.438,0.938,0.336
0.434,0.926,0.32
0.434,0.906,0.32
0.426,0.883,0.324
0.418,0.875,0.32
0.398,0.871,0.309
0.391,0.875,0.305
0.395,0.875,0.309
0.402,0.863,0.313
0.398,0.848,0.32
0.383,0.824,0.324
0.371,0.816,0.328
0.363,0.82,0.34
