------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yy at 100 Hz  Filter Normal -----------
Serial Number: TAS1F27170048
Start Time 10:24:00
Start Date 8/2/18
Epoch Period (hh:mm:ss) 00:00:00
Download Time 10:25:38
Download Date 8/2/18
Current Memory Address: 0
Current Battery Voltage: 4.09     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
-0.5,0.703,0.82
-0.469,0.684,0.836
-0.43,0.66,0.863
-0.387,0.598,0.906
-0.359,0.504,0.965
-0.344,0.445,0.98
-0.305,0.41,0.945
-0.281,0.367,0.871
-0.266,0.383,0.801
-0.254,0.453,0.738
-0.219,0.527,0.688
-0.188,0.559,0.68
-0.152,0.535,0.723
-0.102,0.473,0.766
-0.063,0.418,0.801
-0.043,0.395,0.781
-0.039,0.379,0.715
-0.031,0.41,0.613
-0.027,0.508,0.477
-0.055,0.59,0.355
-0.066,0.629,0.277
-0.055,0.629,0.227
-0.051,0.621,0.176
-0.063,0.641,0.086
-0.113,0.652,-0.012
-0.152,0.684,-0.125
-0.133,0.73,-0.309
-0.094,0.758,-0.473
-0.063,0.793,-0.621
-0.07,0.855,-0.719
-0.086,0.961,-0.766
-0.105,1.02,-0.789
-0.113,1.004,-0.797
-0.094,0.992,-0.828
-0.078,0.965,-0.879
-0.063,0.883,-0.91
-0.063,0.828,-0.926
-0.066,0.805,-0.941
-0.055,0.777,-0.871
-0.047,0.777,-0.777
-0.086,0.777,-0.75
-0.113,0.758,-0.816
-0.09,0.777,-0.883
-0.063,0.801,-0.949
-0.063,0.836,-0.973
-0.066,0.781,-0.918
-0.055,0.633,-0.797
-0.063,0.539,-0.75
-0.051,0.535,-0.754
-0.008,0.566,-0.734
0.02,0.582,-0.738
0.031,0.59,-0.754
0.023,0.609,-0.766
0.016,0.629,-0.754
0.012,0.68,-0.742
0.016,0.727,-0.758
0.035,0.699,-0.781
0.07,0.637,-0.797
0.105,0.598,-0.793
0.129,0.602,-0.766
