------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yy at 100 Hz  Filter Normal -----------
Serial Number: TAS1F27170049
Start Time 12:48:00
Start Date 8/2/18
Epoch Period (hh:mm:ss) 00:00:00
Download Time 12:52:16
Download Date 8/2/18
Current Memory Address: 0
Current Battery Voltage: 4.18     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
0.043,0.594,0.125
0.059,0.59,0.137
0.063,0.594,0.137
0.063,0.605,0.145
0.055,0.609,0.152
0.055,0.617,0.164
0.063,0.621,0.184
0.074,0.641,0.207
0.094,0.664,0.215
0.109,0.707,0.211
0.141,0.77,0.203
0.172,0.816,0.199
0.191,0.844,0.191
0.211,0.863,0.176
0.223,0.887,0.145
0.23,0.926,0.125
0.234,0.957,0.129
0.25,0.98,0.141
0.27,1,0.16
0.285,1.023,0.168
0.301,1.074,0.168
0.32,1.141,0.176
0.34,1.219,0.199
0.363,1.309,0.223
0.402,1.391,0.246
0.457,1.43,0.266
0.5,1.426,0.281
0.523,1.383,0.285
0.535,1.324,0.313
0.543,1.258,0.336
0.527,1.207,0.336
0.504,1.168,0.313
0.48,1.145,0.293
0.461,1.098,0.301
0.445,1.066,0.332
0.449,1.066,0.363
0.461,1.09,0.375
0.453,1.09,0.352
0.434,1.055,0.309
0.406,0.988,0.27
0.387,0.918,0.238
0.336,0.879,0.211
0.301,0.855,0.184
0.254,0.824,0.168
0.191,0.77,0.148
0.137,0.723,0.117
0.117,0.703,0.098
0.098,0.695,0.09
0.066,0.68,0.086
0.035,0.652,0.094
0.016,0.648,0.105
0.012,0.625,0.113
0.008,0.617,0.113
-0.004,0.617,0.113
-0.012,0.617,0.125
-0.016,0.637,0.141
-0.035,0.664,0.156
-0.043,0.715,0.164
-0.043,0.742,0.184
-0.055,0.727,0.203
-0.047,0.723,0.227
-0.035,0.734,0.254
-0.027,0.773,0.273
0.016,0.84,0.285
0.02,0.883,0.297
0.004,0.941,0.301
0.027,0.988,0.32
0.031,1,0.328
0.035,1.035,0.309
0.051,1.063,0.281
0.059,1.082,0.266
0.059,1.109,0.258
0.074,1.137,0.254
0.098,1.18,0.254
0.117,1.195,0.246
0.117,1.242,0.246
0.121,1.281,0.254
0.125,1.324,0.258
0.129,1.367,0.246
0.152,1.418,0.215
0.211,1.504,0.16
0.258,1.492,0.109
0.277,1.406,0.07
0.293,1.344,0.043
0.289,1.305,0.02
0.273,1.273,0.008
0.258,1.238,0.016
0.266,1.223,0.023
0.281,1.234,0.035
0.297,1.25,0.063
0.301,1.223,0.086
0.293,1.172,0.094
0.281,1.125,0.09
0.254,1.078,0.094
0.227,1.012,0.09
0.199,0.945,0.094
0.184,0.883,0.098
0.168,0.836,0.094
0.16,0.797,0.094
0.152,0.77,0.094
0.133,0.746,0.098
0.133,0.691,0.094
0.129,0.66,0.09
0.117,0.637,0.094
0.109,0.609,0.105
0.105,0.582,0.117
0.094,0.555,0.121
0.078,0.539,0.121
0.074,0.539,0.129
0.07,0.539,0.141
0.066,0.543,0.152
0.059,0.555,0.172
0.059,0.574,0.188
0.07,0.602,0.207
0.078,0.621,0.223
0.09,0.645,0.234
0.105,0.672,0.25
0.125,0.711,0.258
0.145,0.754,0.254
0.16,0.793,0.238
0.168,0.824,0.227
0.176,0.852,0.211
0.18,0.879,0.207
0.195,0.902,0.223
0.207,0.922,0.242
0.234,0.941,0.266
0.262,0.973,0.273
0.281,1.016,0.277
0.305,1.063,0.301
0.34,1.125,0.316
0.391,1.219,0.34
0.449,1.316,0.352
0.504,1.387,0.34
0.547,1.43,0.309
0.586,1.426,0.281
0.605,1.379,0.262
0.617,1.328,0.262
0.621,1.281,0.273
0.621,1.234,0.27
0.59,1.184,0.254
0.551,1.16,0.238
0.516,1.113,0.246
0.496,1.063,0.281
0.484,1.023,0.332
0.457,1.004,0.379
0.449,1.012,0.402
0.438,1.012,0.391
0.418,0.992,0.355
0.395,0.969,0.309
0.371,0.945,0.246
0.344,0.926,0.203
0.328,0.887,0.172
0.301,0.84,0.148
0.266,0.773,0.129
0.227,0.723,0.105
0.199,0.688,0.09
0.164,0.664,0.063
0.152,0.66,0.039
