------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yy at 100 Hz  Filter Normal -----------
Serial Number: TAS1F27170048
Start Time 12:48:00
Start Date 8/2/18
Epoch Period (hh:mm:ss) 00:00:00
Download Time 12:52:16
Download Date 8/2/18
Current Memory Address: 0
Current Battery Voltage: 4.15     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
0.063,1.051,0.148
0.086,1.051,0.148
0.098,1.055,0.141
0.094,1.059,0.121
0.086,1.082,0.105
0.082,1.117,0.078
0.066,1.18,0.047
0.059,1.234,0.031
0.055,1.305,0.035
0.031,1.379,0.027
0,1.465,0.008
-0.035,1.527,-0.023
-0.09,1.539,-0.063
-0.141,1.484,-0.086
-0.176,1.406,-0.117
-0.188,1.332,-0.152
-0.184,1.273,-0.207
-0.172,1.25,-0.277
-0.164,1.238,-0.332
-0.168,1.23,-0.352
-0.172,1.246,-0.348
-0.191,1.27,-0.332
-0.207,1.262,-0.297
-0.199,1.246,-0.262
-0.195,1.215,-0.223
-0.172,1.141,-0.176
-0.156,1.07,-0.129
-0.137,1,-0.102
-0.117,0.93,-0.086
-0.094,0.855,-0.07
-0.082,0.781,-0.066
-0.07,0.723,-0.066
-0.074,0.695,-0.066
-0.078,0.672,-0.059
-0.078,0.641,-0.055
-0.082,0.625,-0.035
-0.082,0.605,-0.004
-0.078,0.578,0.02
-0.078,0.559,0.039
-0.07,0.543,0.055
-0.063,0.543,0.059
-0.055,0.547,0.066
-0.051,0.551,0.059
-0.055,0.586,0.047
-0.063,0.613,0.035
-0.07,0.641,0.027
-0.086,0.68,0.027
-0.094,0.703,0.031
-0.098,0.723,0.031
-0.102,0.75,0.031
-0.105,0.801,0.035
-0.09,0.828,0.047
-0.09,0.867,0.035
-0.098,0.934,0.02
-0.105,0.969,0.012
-0.121,0.988,0.016
-0.145,1.035,0.004
-0.164,1.098,-0.008
-0.188,1.145,-0.02
-0.211,1.156,-0.02
-0.227,1.188,-0.016
-0.25,1.23,-0.02
-0.262,1.285,-0.004
-0.281,1.336,0.004
-0.301,1.383,0.008
-0.332,1.406,0.008
-0.363,1.406,0.02
-0.395,1.395,0.031
-0.414,1.344,0.059
-0.418,1.281,0.078
-0.41,1.227,0.082
-0.398,1.168,0.063
-0.379,1.137,0.043
-0.359,1.121,0.035
-0.344,1.098,0.051
-0.348,1.086,0.07
-0.344,1.098,0.078
-0.344,1.105,0.07
-0.344,1.098,0.055
-0.336,1.09,0.039
-0.32,1.055,0.023
-0.297,1,0.016
-0.266,0.934,0.012
-0.234,0.859,0.012
-0.191,0.789,0.031
-0.156,0.734,0.027
