------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yy at 100 Hz  Filter Normal -----------
Serial Number: TAS1E52150597
Start Time 16:57:00
Start Date 8/3/18
Epoch Period (hh:mm:ss) 00:00:00
Download Time 16:59:31
Download Date 8/3/18
Current Memory Address: 0
Current Battery Voltage: 4.09     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
0.125,0.234,0.98
0.133,0.227,0.98
0.133,0.227,0.992
0.137,0.203,1.004
0.145,0.203,0.996
0.145,0.227,0.992
0.152,0.223,0.996
0.156,0.211,0.996
0.148,0.211,0.996
0.141,0.215,1.004
0.145,0.203,1.012
0.141,0.199,1.008
0.141,0.211,1.004
0.133,0.211,1.004
0.129,0.207,1.004
0.129,0.203,1
0.121,0.207,0.996
0.125,0.215,1
0.129,0.215,1
0.129,0.211,1
0.137,0.223,0.98
0.152,0.223,1
0.172,0.215,1.008
0.145,0.199,1.016
0.141,0.207,1
0.16,0.211,0.992
0.156,0.211,0.984
0.156,0.215,0.984
0.164,0.227,1.004
0.16,0.223,1.012
0.152,0.211,1.004
0.156,0.207,1.004
0.148,0.207,0.992
0.148,0.223,0.988
0.152,0.238,0.996
0.145,0.234,1
0.141,0.23,0.996
0.145,0.227,1
0.145,0.223,1
0.141,0.223,1
0.148,0.223,0.996
0.145,0.219,1
0.145,0.211,1.004
0.148,0.207,1.004
0.148,0.211,1.012
0.152,0.219,1.031
0.168,0.211,1.051
0.172,0.195,1.066
0.18,0.18,1.078
0.184,0.172,1.086
0.168,0.18,1.102
0.188,0.191,1.125
0.219,0.188,1.125
0.223,0.188,1.09
0.219,0.195,1.051
0.207,0.199,1.023
0.207,0.215,1.008
0.215,0.246,0.988
0.211,0.27,0.977
0.195,0.277,0.973
0.184,0.262,0.965
0.168,0.246,0.945
0.16,0.262,0.934
0.148,0.305,0.922
0.145,0.348,0.895
0.152,0.391,0.906
0.133,0.348,0.934
0.094,0.105,0.953
0.316,-0.035,0.973
0.219,0.098,1.02
0.082,0.227,1.004
0.133,0.234,0.988
0.242,0.289,0.996
0.141,0.316,0.965
0.098,0.316,0.926
0.117,0.336,0.914
0.078,0.316,0.938
0.035,0.289,0.992
0.016,0.27,1.043
0.02,0.289,1.066
0.027,0.363,1.043
0.043,0.453,0.984
0.07,0.5,0.918
0.102,0.496,0.852
0.137,0.473,0.785
0.164,0.473,0.746
0.195,0.512,0.711
0.227,0.617,0.664
0.242,0.77,0.609
0.254,0.895,0.539
0.262,0.973,0.48
0.27,1.004,0.418
0.273,0.996,0.363
0.309,0.973,0.336
0.344,0.891,0.359
0.363,0.703,0.453
