------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yy at 100 Hz  Filter Normal -----------
Serial Number: TAS1E52150596
Start Time 17:05:00
Start Date 8/3/18
Epoch Period (hh:mm:ss) 00:00:00
Download Time 17:06:40
Download Date 8/3/18
Current Memory Address: 0
Current Battery Voltage: 4.12     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
-0.164,0.477,0.914
-0.148,0.469,0.91
-0.141,0.465,0.906
-0.141,0.461,0.91
-0.137,0.461,0.91
-0.141,0.461,0.914
-0.145,0.457,0.914
-0.145,0.461,0.914
-0.145,0.453,0.91
-0.145,0.453,0.91
-0.145,0.453,0.91
-0.141,0.457,0.906
-0.141,0.457,0.91
-0.145,0.457,0.906
-0.141,0.461,0.914
-0.141,0.461,0.914
-0.141,0.461,0.914
-0.145,0.453,0.91
-0.141,0.453,0.914
-0.148,0.453,0.91
-0.145,0.453,0.91
-0.148,0.453,0.914
-0.141,0.461,0.91
-0.145,0.457,0.906
-0.141,0.457,0.906
-0.137,0.457,0.91
-0.141,0.457,0.914
-0.145,0.453,0.918
-0.145,0.453,0.918
-0.145,0.453,0.914
-0.148,0.449,0.918
-0.145,0.449,0.918
-0.145,0.457,0.914
-0.145,0.457,0.91
-0.145,0.453,0.906
-0.145,0.457,0.906
-0.145,0.453,0.906
-0.141,0.453,0.906
-0.145,0.457,0.91
-0.145,0.457,0.914
-0.148,0.453,0.914
-0.152,0.453,0.914
-0.148,0.457,0.918
-0.141,0.461,0.914
-0.145,0.461,0.914
-0.145,0.457,0.914
-0.141,0.457,0.914
-0.145,0.457,0.91
-0.145,0.457,0.906
-0.145,0.457,0.914
-0.152,0.457,0.91
-0.148,0.453,0.918
-0.148,0.453,0.914
-0.145,0.453,0.91
-0.145,0.457,0.91
-0.145,0.457,0.914
-0.145,0.461,0.906
-0.145,0.457,0.91
-0.145,0.457,0.906
-0.145,0.461,0.906
-0.145,0.461,0.902
-0.145,0.457,0.902
-0.148,0.457,0.906
-0.148,0.457,0.902
-0.152,0.453,0.91
-0.145,0.453,0.914
-0.145,0.453,0.914
-0.145,0.457,0.91
-0.145,0.457,0.91
-0.145,0.453,0.91
-0.145,0.457,0.91
-0.148,0.457,0.914
-0.145,0.457,0.914
-0.145,0.457,0.906
-0.148,0.453,0.91
-0.148,0.457,0.914
-0.141,0.461,0.918
-0.145,0.461,0.914
-0.141,0.461,0.914
-0.141,0.457,0.918
-0.141,0.457,0.918
-0.141,0.457,0.914
-0.141,0.453,0.914
-0.141,0.453,0.91
-0.145,0.453,0.91
-0.145,0.453,0.914
-0.141,0.453,0.918
-0.137,0.457,0.91
-0.137,0.461,0.914
-0.141,0.453,0.906
-0.141,0.457,0.91
-0.141,0.453,0.906
-0.141,0.457,0.906
-0.141,0.457,0.91
-0.141,0.457,0.91
-0.141,0.457,0.91
-0.145,0.457,0.91
-0.145,0.453,0.914
-0.141,0.453,0.914
-0.141,0.457,0.918
-0.148,0.457,0.918
-0.145,0.453,0.91
-0.145,0.453,0.914
-0.145,0.449,0.91
-0.148,0.449,0.906
-0.148,0.453,0.91
-0.148,0.449,0.91
-0.148,0.449,0.91
-0.148,0.453,0.906
-0.145,0.453,0.906
-0.145,0.457,0.91
-0.141,0.461,0.91
-0.141,0.457,0.906
-0.141,0.457,0.906
-0.141,0.453,0.91
-0.145,0.449,0.914
-0.145,0.449,0.914
-0.145,0.449,0.918
-0.145,0.453,0.914
-0.141,0.457,0.922
-0.141,0.453,0.922
