------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yy at 100 Hz  Filter Normal -----------
Serial Number: TAS1E52150597
Start Time 20:36:00
Start Date 7/27/18
Epoch Period (hh:mm:ss) 00:00:00
Download Time 20:37:40
Download Date 7/27/18
Current Memory Address: 0
Current Battery Voltage: 4.15     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
0.238,0.957,-0.012
0.266,0.957,-0.012
0.27,0.957,-0.016
0.262,0.953,-0.004
0.258,0.961,0.008
0.25,0.973,0.012
0.254,0.98,0.008
0.258,0.977,0.012
0.254,0.98,0.02
0.254,0.988,0.02
0.242,0.988,0.02
0.238,0.984,0.012
0.246,1.004,0.008
0.254,1.031,0.008
0.258,1.043,0.016
0.254,1.047,0.027
0.246,1.043,0.035
0.234,1.004,0.055
0.23,0.961,0.051
0.242,0.926,0.055
0.258,0.934,0.074
0.27,0.984,0.094
0.262,1.008,0.094
0.266,1.016,0.102
0.281,1.035,0.105
0.289,1.059,0.121
0.285,1.094,0.133
0.27,1.109,0.141
0.258,1.098,0.137
0.258,1.063,0.129
0.266,1.035,0.129
0.258,1.047,0.137
0.227,1.063,0.137
0.188,1.082,0.129
0.156,1.094,0.102
0.137,1.074,0.086
0.137,1.07,0.098
0.148,1.074,0.129
0.152,1.07,0.141
0.156,1.066,0.156
0.156,1.051,0.18
0.137,1.027,0.172
0.121,1.012,0.145
0.105,0.988,0.117
0.094,0.984,0.078
0.098,1.012,0.051
0.113,1.02,0.039
0.125,0.992,0.051
0.117,0.98,0.07
0.113,0.973,0.086
0.109,0.941,0.098
0.113,0.918,0.113
0.109,0.914,0.082
0.109,0.918,0.051
0.117,0.941,0.031
0.113,0.977,0.008
0.105,0.996,-0.008
0.094,1,-0.008
0.09,1.016,-0.012
0.105,1.066,-0.004
0.113,1.094,0.016
0.121,1.094,0.035
0.129,1.078,0.047
0.137,1.047,0.047
0.129,1.031,0.023
0.133,1.031,0.012
0.145,1.012,0.004
0.148,0.996,0.004
0.141,0.973,-0.004
0.148,0.988,-0.016
0.156,1.031,-0.031
0.168,1.047,-0.031
0.164,1.066,-0.043
0.168,1.07,-0.055
0.188,1.074,-0.063
0.203,1.086,-0.07
0.234,1.105,-0.066
0.273,1.129,-0.066
0.309,1.16,-0.055
0.332,1.168,-0.047
0.352,1.156,-0.043
0.375,1.168,-0.055
0.391,1.199,-0.074
0.391,1.215,-0.086
0.387,1.195,-0.082
0.387,1.199,-0.086
0.387,1.215,-0.098
0.406,1.219,-0.098
0.43,1.184,-0.086
0.438,1.145,-0.086
0.445,1.16,-0.094
0.445,1.18,-0.109
0.441,1.16,-0.102
0.426,1.141,-0.09
0.402,1.102,-0.074
0.387,1.047,-0.051
0.371,1.016,-0.027
0.359,1,-0.016
0.348,0.965,-0.008
0.344,0.949,-0.012
0.328,0.945,-0.02
0.336,0.938,-0.035
0.344,0.961,-0.051
0.352,0.988,-0.074
0.34,0.984,-0.066
0.328,0.965,-0.055
0.313,0.965,-0.047
0.301,0.988,-0.047
0.309,1.004,-0.051
0.313,1.008,-0.055
0.316,0.996,-0.074
0.316,0.992,-0.094
0.309,0.984,-0.105
0.305,0.996,-0.121
0.293,1.02,-0.125
0.281,1.023,-0.121
0.273,1.004,-0.109
0.262,0.984,-0.098
0.258,0.988,-0.086
0.254,1,-0.086
0.254,0.984,-0.09
0.25,0.941,-0.078
0.246,0.902,-0.059
0.223,0.883,-0.047
0.195,0.879,-0.043
0.184,0.91,-0.051
0.184,0.965,-0.059
0.191,0.984,-0.078
0.199,0.945,-0.09
0.199,0.918,-0.098
0.188,0.895,-0.078
0.156,0.867,-0.063
0.141,0.855,-0.051
0.133,0.836,-0.047
0.129,0.809,-0.035
0.121,0.781,-0.039
0.109,0.777,-0.066
0.109,0.77,-0.078
0.109,0.754,-0.086
0.102,0.762,-0.094
0.098,0.77,-0.109
0.082,0.758,-0.117
0.066,0.738,-0.125
0.055,0.715,-0.129
0.055,0.699,-0.129
0.051,0.695,-0.133
0.043,0.707,-0.129
0.031,0.711,-0.129
0.023,0.719,-0.129
0.023,0.73,-0.129
0.008,0.75,-0.129
0.004,0.75,-0.121
0.004,0.754,-0.129
0.012,0.781,-0.129
0.008,0.801,-0.121
0.004,0.813,-0.105
0,0.809,-0.09
-0.012,0.809,-0.082
-0.023,0.813,-0.086
-0.023,0.824,-0.082
-0.02,0.84,-0.09
-0.023,0.863,-0.098
-0.027,0.891,-0.09
-0.031,0.91,-0.09
-0.043,0.918,-0.094
-0.043,0.922,-0.094
-0.051,0.934,-0.102
-0.051,0.969,-0.117
-0.047,0.984,-0.117
-0.047,0.988,-0.121
-0.055,0.996,-0.129
-0.051,1.008,-0.129
-0.027,1.027,-0.133
-0.023,1.039,-0.156
-0.027,1.043,-0.168
-0.031,1.023,-0.172
-0.023,1.031,-0.188
-0.02,1.027,-0.199
-0.02,1.023,-0.199
-0.016,1.035,-0.207
-0.012,1.027,-0.211
-0.004,1.02,-0.219
0,1.02,-0.227
0.008,1.012,-0.234
0.004,1.008,-0.246
0.004,0.996,-0.262
0,0.996,-0.27
0.012,1.004,-0.281
0.02,1.008,-0.293
0.027,0.988,-0.281
0.035,0.969,-0.273
0.027,0.949,-0.27
0.023,0.93,-0.273
0.031,0.922,-0.277
0.039,0.918,-0.277
0.047,0.93,-0.285
0.055,0.934,-0.281
0.059,0.938,-0.27
0.055,0.934,-0.262
0.051,0.938,-0.254
0.047,0.941,-0.25
0.059,0.934,-0.246
0.066,0.941,-0.25
0.074,0.953,-0.25
0.086,0.98,-0.254
0.094,1,-0.258
0.09,0.988,-0.254
0.086,0.977,-0.238
0.082,0.969,-0.23
0.086,0.977,-0.227
0.078,0.98,-0.227
0.07,0.973,-0.223
0.066,0.965,-0.215
0.066,0.969,-0.207
0.066,0.965,-0.203
0.063,0.973,-0.207
0.059,0.965,-0.207
0.059,0.961,-0.207
0.063,0.961,-0.207
0.07,0.965,-0.199
0.074,0.961,-0.191
0.078,0.961,-0.176
0.078,0.973,-0.164
0.078,0.977,-0.16
0.074,0.984,-0.156
0.086,0.984,-0.125
0.082,0.977,-0.125
0.078,0.992,-0.129
0.098,0.984,-0.121
0.117,0.992,-0.105
0.125,1.008,-0.094
0.129,1.004,-0.082
0.137,1.012,-0.078
