------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yy at 100 Hz  Filter Normal -----------
Serial Number: TAS1E52150596
Start Time 20:36:00
Start Date 7/27/18
Epoch Period (hh:mm:ss) 00:00:00
Download Time 20:37:42
Download Date 7/27/18
Current Memory Address: 0
Current Battery Voltage: 4.16     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
-0.195,0.934,0.309
-0.176,0.934,0.309
-0.16,0.926,0.305
-0.156,0.926,0.305
-0.152,0.926,0.305
-0.152,0.926,0.309
-0.152,0.926,0.313
-0.156,0.93,0.316
-0.16,0.93,0.316
-0.156,0.93,0.313
-0.156,0.922,0.309
-0.148,0.926,0.309
-0.156,0.93,0.309
-0.156,0.93,0.309
-0.156,0.926,0.313
-0.156,0.93,0.313
-0.156,0.93,0.309
-0.152,0.922,0.316
-0.152,0.926,0.313
-0.156,0.926,0.309
-0.16,0.926,0.309
-0.148,0.926,0.309
-0.145,0.934,0.309
-0.148,0.934,0.301
-0.148,0.934,0.309
-0.148,0.934,0.309
-0.148,0.934,0.309
-0.148,0.938,0.309
-0.152,0.938,0.309
-0.152,0.938,0.313
-0.156,0.93,0.313
-0.152,0.93,0.313
-0.152,0.93,0.309
-0.152,0.93,0.309
-0.156,0.926,0.305
-0.156,0.922,0.305
-0.148,0.922,0.309
-0.148,0.922,0.305
-0.148,0.926,0.309
-0.152,0.93,0.309
-0.148,0.934,0.309
-0.148,0.934,0.309
-0.148,0.934,0.313
-0.152,0.934,0.313
-0.148,0.938,0.309
-0.145,0.934,0.309
-0.145,0.934,0.309
-0.145,0.93,0.309
-0.148,0.93,0.309
-0.145,0.93,0.309
-0.156,0.934,0.309
-0.152,0.934,0.309
-0.156,0.934,0.309
-0.16,0.941,0.309
-0.164,0.945,0.313
-0.164,0.945,0.313
-0.164,0.949,0.305
-0.164,0.945,0.305
-0.164,0.938,0.305
-0.164,0.945,0.313
-0.164,0.938,0.324
-0.164,0.934,0.332
-0.16,0.941,0.332
-0.164,0.941,0.324
-0.164,0.938,0.316
-0.164,0.934,0.309
-0.168,0.918,0.305
-0.164,0.906,0.305
-0.164,0.898,0.305
-0.164,0.895,0.301
-0.156,0.898,0.297
-0.152,0.906,0.301
-0.156,0.906,0.305
-0.152,0.91,0.313
-0.152,0.922,0.32
-0.141,0.938,0.324
-0.145,0.961,0.324
-0.148,0.973,0.328
-0.156,0.969,0.336
-0.148,0.965,0.332
-0.145,0.934,0.316
-0.145,0.898,0.309
-0.141,0.91,0.297
-0.141,0.945,0.285
-0.156,0.973,0.297
-0.164,1.004,0.316
-0.164,1.027,0.328
-0.18,1.02,0.344
-0.191,1.008,0.355
-0.191,1.027,0.367
-0.188,1.063,0.363
-0.176,1.082,0.352
-0.164,1.105,0.34
-0.156,1.078,0.344
-0.137,1.031,0.344
-0.102,0.973,0.352
-0.086,0.973,0.336
-0.07,0.984,0.328
-0.055,1.008,0.324
-0.035,1.016,0.328
-0.043,1.027,0.34
-0.043,1.035,0.359
-0.043,1.047,0.371
-0.047,1.055,0.371
-0.047,1.047,0.359
-0.039,1.016,0.359
-0.016,0.98,0.34
0.004,0.957,0.309
0.016,0.945,0.277
0.02,0.953,0.254
0.02,0.969,0.254
0.035,0.973,0.27
0.039,0.973,0.289
0.043,0.949,0.313
0.051,0.898,0.324
0.043,0.887,0.32
0.031,0.895,0.309
0.047,0.906,0.289
0.043,0.926,0.273
0.031,0.949,0.273
0.039,0.961,0.289
0.035,0.973,0.301
0.023,0.961,0.316
0.02,0.941,0.332
0.027,0.945,0.355
0.027,0.965,0.348
0.023,0.98,0.332
0.023,0.961,0.316
0.02,0.953,0.305
0.008,0.969,0.281
-0.004,0.973,0.25
-0.016,0.984,0.23
-0.012,0.992,0.227
-0.016,1.035,0.207
-0.027,1.078,0.195
-0.031,1.105,0.188
-0.027,1.102,0.184
-0.039,1.117,0.176
-0.063,1.117,0.164
-0.078,1.066,0.16
-0.113,1.07,0.152
-0.152,1.051,0.152
-0.16,1.047,0.168
-0.164,1.059,0.172
-0.176,1.078,0.16
-0.184,1.094,0.152
-0.18,1.109,0.148
-0.172,1.137,0.145
-0.184,1.152,0.141
-0.215,1.148,0.16
-0.25,1.145,0.188
-0.242,1.141,0.207
-0.234,1.164,0.203
-0.227,1.191,0.188
-0.215,1.207,0.176
-0.203,1.215,0.164
-0.191,1.23,0.152
-0.176,1.223,0.133
-0.164,1.211,0.113
-0.164,1.238,0.105
-0.16,1.227,0.129
-0.164,1.184,0.141
-0.164,1.184,0.125
-0.152,1.164,0.117
-0.137,1.129,0.117
-0.141,1.105,0.105
-0.137,1.07,0.105
-0.133,1.043,0.105
-0.137,1.039,0.109
-0.137,1.031,0.121
-0.141,0.988,0.133
-0.145,0.973,0.129
-0.141,0.969,0.117
-0.133,0.969,0.113
-0.113,0.977,0.094
-0.098,0.98,0.07
-0.086,0.965,0.059
-0.07,0.934,0.07
-0.055,0.914,0.078
-0.051,0.914,0.078
-0.047,0.945,0.066
-0.047,0.961,0.055
-0.047,0.949,0.063
-0.035,0.941,0.063
-0.027,0.953,0.055
-0.016,0.965,0.039
0,0.961,0.023
0.004,0.949,0.016
0,0.918,0.02
0.004,0.871,0.031
0,0.848,0.051
-0.004,0.816,0.047
-0.008,0.82,0.035
-0.008,0.797,0.039
0.008,0.816,0.047
-0.008,0.859,0.051
-0.004,0.883,0.059
-0.012,0.863,0.063
-0.031,0.824,0.074
-0.02,0.82,0.078
-0.023,0.82,0.078
-0.016,0.785,0.082
-0.012,0.766,0.086
-0.016,0.746,0.094
-0.012,0.727,0.105
-0.02,0.727,0.109
-0.027,0.719,0.121
-0.027,0.719,0.133
-0.031,0.719,0.137
-0.035,0.715,0.141
-0.031,0.738,0.141
-0.023,0.754,0.141
-0.031,0.762,0.133
-0.039,0.777,0.129
-0.047,0.789,0.129
-0.059,0.797,0.129
-0.063,0.809,0.121
-0.066,0.828,0.117
-0.074,0.844,0.117
-0.078,0.852,0.109
-0.082,0.855,0.102
-0.086,0.863,0.094
-0.098,0.867,0.086
-0.105,0.875,0.082
-0.105,0.883,0.074
-0.105,0.895,0.074
-0.109,0.902,0.082
-0.102,0.914,0.09
-0.094,0.914,0.086
-0.09,0.926,0.082
-0.09,0.945,0.074
-0.098,0.957,0.074
-0.102,0.961,0.082
-0.102,0.973,0.082
-0.102,0.984,0.086
-0.102,0.992,0.105
-0.094,0.996,0.117
-0.082,0.988,0.121
-0.074,0.984,0.117
-0.07,0.992,0.117
-0.066,1,0.117
-0.055,1.012,0.113
-0.063,1.016,0.121
-0.063,1.023,0.137
-0.063,1.016,0.141
-0.066,1.008,0.145
-0.059,1.008,0.152
-0.047,1.004,0.164
-0.039,0.996,0.172
-0.031,1,0.172
-0.031,1.004,0.176
-0.023,0.996,0.176
-0.016,1,0.176
-0.02,0.988,0.176
-0.012,0.973,0.188
-0.004,0.957,0.184
0,0.957,0.18
0.008,0.965,0.172
0.008,0.965,0.168
0.012,0.957,0.16
0.02,0.945,0.168
0.02,0.953,0.172
0.023,0.957,0.176
0.027,0.965,0.184
0.031,0.961,0.18
0.031,0.961,0.18
0.043,0.953,0.18
0.035,0.945,0.176
0.035,0.945,0.18
0.043,0.949,0.18
0.043,0.941,0.176
0.043,0.945,0.176
0.039,0.949,0.176
0.039,0.949,0.176
0.039,0.957,0.176
0.043,0.973,0.176
0.051,0.984,0.176
0.055,0.988,0.176
0.059,0.98,0.176
0.07,0.973,0.184
0.078,0.98,0.18
0.074,0.98,0.172
0.078,0.98,0.168
0.082,0.992,0.172
0.082,1.008,0.168
0.082,1.027,0.164
0.082,1.043,0.156
0.082,1.066,0.152
0.07,1.082,0.145
0.059,1.098,0.129
0.051,1.098,0.109
0.039,1.094,0.098
0.031,1.09,0.086
0.023,1.074,0.078
0.016,1.055,0.066
0.008,1.031,0.055
0,1.012,0.035
0.008,0.996,0.02
0.012,0.977,0.008
0.027,0.965,-0.004
0.031,0.977,-0.02
0.039,0.973,-0.035
0.039,0.969,-0.043
0.031,0.969,-0.051
0.027,0.965,-0.051
0.023,0.949,-0.051
0.02,0.953,-0.055
0.023,0.965,-0.063
0.023,0.98,-0.07
0.02,0.992,-0.074
0.016,0.984,-0.07
0.012,0.973,-0.063
0.008,0.953,-0.059
0.012,0.941,-0.059
0.02,0.938,-0.055
0.023,0.938,-0.055
0.031,0.938,-0.055
0.035,0.934,-0.055
0.043,0.945,-0.055
0.047,0.957,-0.055
0.047,0.98,-0.051
0.047,0.988,-0.043
0.047,0.992,-0.031
0.043,0.996,-0.023
0.043,1,-0.02
0.047,1.012,-0.016
0.047,1.008,-0.004
0.051,1.008,0
0.051,1.008,0.004
0.051,1.008,0.008
0.051,1.008,0.012
0.055,1.012,0.02
0.055,1.004,0.027
0.059,1,0.035
0.066,0.992,0.039
0.074,0.992,0.043
0.082,0.984,0.047
0.086,0.98,0.055
0.094,0.977,0.059
0.105,0.977,0.063
0.117,0.973,0.07
0.121,0.969,0.078
0.133,0.969,0.078
0.145,0.977,0.074
0.156,0.992,0.078
0.16,0.996,0.078
0.168,0.996,0.078
0.168,0.992,0.082
0.176,0.988,0.09
0.172,0.992,0.086
0.164,1,0.086
0.172,1,0.082
0.176,1,0.078
0.172,1.008,0.074
0.176,1.016,0.07
0.18,1.02,0.063
0.176,1.02,0.055
0.16,1.008,0.047
0.152,1,0.043
0.148,0.988,0.039
0.148,0.98,0.035
0.152,0.984,0.027
0.148,0.988,0.02
0.152,0.984,0.016
0.168,0.992,0.016
0.172,1.008,0.008
0.164,1.027,0.008
0.152,1.035,0.012
0.125,1.031,0.02
0.102,1.012,0.027
0.074,0.996,0.035
0.059,0.973,0.043
0.051,0.957,0.051
0.043,0.938,0.059
0.039,0.918,0.066
0.035,0.906,0.074
0.035,0.895,0.09
0.031,0.891,0.105
0.023,0.887,0.125
0.023,0.887,0.148
0.023,0.898,0.164
0.027,0.91,0.184
0.031,0.93,0.199
0.031,0.973,0.207
0.02,1.035,0.211
-0.004,1.102,0.215
-0.035,1.129,0.219
-0.059,1.117,0.234
-0.066,1.094,0.246
-0.07,1.07,0.258
-0.066,1.055,0.246
-0.059,1.063,0.227
-0.047,1.082,0.203
-0.039,1.078,0.191
-0.027,1.07,0.195
-0.016,1.063,0.199
-0.008,1.051,0.195
0.012,1.039,0.195
0.031,1.023,0.203
0.051,1.008,0.203
0.055,1.004,0.199
0.078,0.992,0.195
0.09,0.977,0.203
0.098,0.957,0.203
0.109,0.941,0.203
0.113,0.934,0.199
0.117,0.934,0.199
0.121,0.934,0.195
0.125,0.934,0.191
0.129,0.934,0.191
0.133,0.93,0.191
0.133,0.93,0.199
0.125,0.938,0.195
0.129,0.953,0.195
0.129,0.953,0.199
0.125,0.945,0.199
0.121,0.934,0.203
0.129,0.934,0.207
0.129,0.926,0.207
0.129,0.926,0.211
0.137,0.93,0.211
0.145,0.918,0.211
0.156,0.906,0.215
0.168,0.902,0.215
0.188,0.898,0.215
0.199,0.898,0.211
0.211,0.902,0.211
0.227,0.91,0.207
0.234,0.914,0.207
0.242,0.918,0.211
0.246,0.93,0.211
0.258,0.934,0.211
0.266,0.934,0.211
0.27,0.93,0.211
0.273,0.938,0.215
0.277,0.941,0.215
0.285,0.945,0.211
0.285,0.965,0.211
0.281,0.973,0.215
0.277,0.969,0.215
0.273,0.973,0.219
0.27,0.988,0.211
0.27,0.996,0.207
0.273,1.02,0.195
0.27,1.063,0.184
0.254,1.105,0.18
0.227,1.133,0.184
0.184,1.137,0.195
0.145,1.137,0.199
0.113,1.141,0.195
0.086,1.121,0.195
0.078,1.102,0.195
0.066,1.094,0.184
0.047,1.09,0.176
0.031,1.086,0.172
0.016,1.07,0.16
0.004,1.031,0.168
-0.004,0.988,0.172
0.004,0.961,0.164
0.02,0.961,0.152
0.047,0.984,0.137
0.07,0.996,0.125
0.078,1.023,0.117
0.078,1.047,0.109
0.07,1.074,0.098
0.043,1.102,0.086
0.016,1.121,0.078
-0.008,1.137,0.059
-0.02,1.145,0.035
-0.027,1.121,0.023
-0.035,1.098,0.016
-0.027,1.066,0.008
-0.016,1.035,0.008
0,1,0.008
0.023,0.957,0.008
0.035,0.926,0.02
0.055,0.898,0.031
0.07,0.871,0.035
0.082,0.848,0.039
0.098,0.832,0.043
0.109,0.824,0.039
0.125,0.824,0.039
0.125,0.82,0.039
0.125,0.824,0.043
0.129,0.84,0.043
0.121,0.855,0.047
0.121,0.863,0.051
0.117,0.875,0.051
0.113,0.891,0.051
0.109,0.91,0.051
0.105,0.934,0.051
