------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yy at 100 Hz  Filter Normal -----------
Serial Number: TAS1E52150597
Start Time 09:35:00
Start Date 7/30/18
Epoch Period (hh:mm:ss) 00:00:00
Download Time 09:37:50
Download Date 7/30/18
Current Memory Address: 0
Current Battery Voltage: 4.16     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
-0.027,0,1.051
-0.012,-0.008,1.043
-0.004,-0.012,1.039
-0.008,-0.008,1.043
-0.004,-0.004,1.043
0,-0.004,1.039
-0.004,-0.004,1.043
0,-0.004,1.043
0,-0.004,1.039
0,-0.008,1.039
0,-0.004,1.039
-0.004,-0.008,1.023
0,-0.008,1.047
-0.004,-0.004,1.039
-0.008,-0.008,1.043
-0.004,-0.008,1.039
0,-0.004,1.039
0,-0.004,1.039
0,-0.008,1.039
0,-0.012,1.039
0,-0.004,1.035
0,-0.004,1.039
0,-0.008,1.039
0,-0.008,1.039
0,-0.004,1.035
0,-0.004,1.035
0,-0.012,1.043
0,-0.012,1.039
0,-0.004,1.043
0,-0.004,1.039
0,-0.008,1.035
0,-0.004,1.043
0,-0.008,1.039
0,-0.008,1.043
0.004,-0.008,1.039
0,-0.012,1.039
-0.004,-0.012,1.035
-0.004,-0.008,1.035
0,-0.008,1.039
-0.008,-0.012,1.039
-0.203,-0.051,1.039
-0.301,-0.098,1.043
-0.199,-0.004,1.047
-0.207,0.082,1.039
-0.082,0.02,1.035
-0.031,-0.004,1.043
0.016,-0.031,1.031
0.031,-0.016,1.039
0.02,0,1.035
0.012,0.004,1.039
-0.012,0.012,1.035
-0.008,-0.012,1.039
-0.023,0.004,1.043
0,0,1.035
0.004,-0.004,1.039
-0.004,-0.02,1.039
-0.012,-0.012,1.043
-0.031,-0.012,1.047
-0.09,0.012,1.055
-0.09,0.023,1.027
0.027,-0.031,1.043
0.039,-0.055,1.051
0.027,-0.047,1.035
-0.105,0.012,1.039
-0.117,0.051,1.043
-0.055,0.031,1.039
-0.023,-0.012,1.047
-0.039,-0.004,1.051
-0.016,-0.035,1.051
-0.016,-0.023,1.043
0.074,-0.063,1.039
0,-0.043,1.035
-0.035,0,1.051
-0.172,0.07,1.043
-0.105,0.027,1.051
-0.051,0.012,1.031
0.004,-0.035,1.039
-0.043,0.004,1.039
-0.035,0.004,1.047
-0.027,0,1.039
0.027,-0.035,1.043
0.012,-0.02,1.047
0.027,-0.012,1.039
0.051,-0.07,1.055
-0.051,-0.023,1.043
-0.137,0.051,1.055
-0.145,0.066,1.035
-0.016,-0.008,1.023
0.047,-0.047,1.035
0.031,-0.023,1.039
0.043,-0.008,1.043
-0.055,0.012,1.035
0,0.012,1.035
0,0.008,1.043
0.016,0.008,1.043
0,0.004,1.016
-0.012,-0.004,1.043
