------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yy at 100 Hz  Filter Normal -----------
Serial Number: TAS1F27170051
Start Time 16:07:00
Start Date 8/1/18
Epoch Period (hh:mm:ss) 00:00:00
Download Time 16:09:26
Download Date 8/1/18
Current Memory Address: 0
Current Battery Voltage: 4.18     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
-0.023,-0.02,1.043
0,-0.027,1.043
0.008,-0.023,1.035
0.012,-0.023,1.035
0.012,-0.023,1.035
0.012,-0.023,1.035
0.016,-0.023,1.039
0.012,-0.023,1.039
0.012,-0.023,1.035
0.012,-0.023,1.039
0.012,-0.023,1.039
0.016,-0.027,1.039
0.008,-0.023,1.039
0.012,-0.023,1.039
0.012,-0.02,1.035
0.008,-0.027,1.031
0.012,-0.027,1.035
0.012,-0.023,1.035
0.008,-0.027,1.035
0.012,-0.027,1.039
0.012,-0.027,1.035
0.012,-0.027,1.035
0.012,-0.031,1.035
0.008,-0.027,1.035
0.012,-0.027,1.035
0.008,-0.023,1.035
0.016,-0.023,1.031
0.012,-0.023,1.031
0.012,-0.023,1.039
0.016,-0.023,1.039
0.016,-0.027,1.035
0.012,-0.027,1.035
0.012,-0.027,1.035
0.012,-0.027,1.031
0.012,-0.027,1.035
0.012,-0.027,1.039
0.008,-0.023,1.039
0.012,-0.023,1.039
0.012,-0.023,1.043
0.016,-0.023,1.035
0.012,-0.023,1.035
0.012,-0.023,1.031
0.008,-0.027,1.031
0.008,-0.023,1.031
0.012,-0.023,1.031
0.012,-0.023,1.035
0.008,-0.023,1.035
0.012,-0.027,1.039
0.016,-0.027,1.039
0.012,-0.027,1.035
0,-0.027,1.035
0.012,-0.027,1.035
0.008,-0.023,1.035
0.012,-0.023,1.035
0.012,-0.023,1.035
0.012,-0.023,1.039
0.012,-0.023,1.039
0.012,-0.023,1.039
0.012,-0.023,1.039
0.016,-0.02,1.043
0.012,-0.023,1.035
0.012,-0.023,1.035
0.012,-0.023,1.035
0.012,-0.023,1.039
0.012,-0.023,1.035
0.008,-0.023,1.035
0.012,-0.027,1.039
0.012,-0.027,1.039
0.012,-0.027,1.035
0.008,-0.027,1.035
0.012,-0.027,1.039
0.012,-0.023,1.039
0.016,-0.023,1.039
0.016,-0.023,1.035
0.016,-0.023,1.035
0.016,-0.023,1.031
0.012,-0.023,1.039
0.012,-0.023,1.035
0.012,-0.023,1.035
0.012,-0.027,1.031
0.008,-0.027,1.031
0.012,-0.023,1.035
0.008,-0.023,1.035
0.016,-0.027,1.035
0.012,-0.027,1.039
0.012,-0.023,1.043
0.008,-0.023,1.039
0.012,-0.023,1.035
0.008,-0.023,1.035
0.008,-0.027,1.039
0.008,-0.027,1.039
0.012,-0.027,1.035
0.016,-0.023,1.039
0.012,-0.023,1.039
0.016,-0.02,1.035
0.012,-0.023,1.035
0.012,-0.023,1.039
0.012,-0.023,1.039
0.012,-0.023,1.039
0.012,-0.023,1.039
0.004,-0.02,1.035
0.008,-0.023,1.035
0.004,-0.023,1.031
0.012,-0.016,1.031
0.012,-0.023,1.031
0.012,-0.027,1.035
0.016,-0.023,1.039
0.012,-0.023,1.031
0.012,-0.023,1.035
0.012,-0.031,1.035
0.012,-0.027,1.039
0.012,-0.027,1.039
0.012,-0.023,1.035
0.012,-0.023,1.035
0.012,-0.023,1.039
0.012,-0.023,1.039
0.012,-0.023,1.031
0.012,-0.023,1.039
0.012,-0.023,1.035
0.012,-0.023,1.035
0.012,-0.02,1.031
0.016,-0.02,1.035
0.012,-0.023,1.035
0.012,-0.023,1.035
0.008,-0.023,1.031
0.008,-0.023,1.035
0.008,-0.023,1.031
0.008,-0.023,1.031
0.012,-0.023,1.027
0.012,-0.023,1.035
0.008,-0.027,1.035
0.008,-0.023,1.035
0.016,-0.023,1.035
0.012,-0.023,1.035
0.012,-0.023,1.031
0.016,-0.023,1.031
0.016,-0.023,1.031
0.012,-0.023,1.035
0.012,-0.023,1.035
0.008,-0.027,1.031
0.012,-0.023,1.035
0.012,-0.023,1.035
0.016,-0.023,1.035
0.012,-0.023,1.035
0.012,-0.023,1.039
0.012,-0.023,1.035
0.012,-0.023,1.035
0.012,-0.023,1.039
0.008,-0.023,1.039
0.016,-0.023,1.035
0,-0.02,1.035
0.004,-0.027,1.035
0.008,-0.023,1.035
0.012,-0.023,1.031
0.012,-0.023,1.027
0.012,-0.027,1.031
0.012,-0.027,1.031
0.012,-0.02,1.039
0.012,-0.023,1.039
0.012,-0.023,1.039
0.012,-0.023,1.039
0.008,-0.023,1.039
0.008,-0.027,1.035
0.008,-0.027,1.039
0.008,-0.027,1.035
0.012,-0.023,1.039
0.016,-0.027,1.039
0.012,-0.027,1.039
0.008,-0.027,1.039
0.008,-0.027,1.031
0.012,-0.027,1.035
0.012,-0.027,1.035
0.008,-0.023,1.039
0.008,-0.027,1.035
0.012,-0.023,1.035
0.012,-0.023,1.039
0.012,-0.023,1.039
0.012,-0.023,1.035
0.012,-0.023,1.035
0.012,-0.023,1.039
0.012,-0.027,1.039
0.016,-0.023,1.039
0.012,-0.023,1.039
0.008,-0.023,1.039
0.008,-0.023,1.039
0.008,-0.027,1.035
0.016,-0.027,1.039
0.016,-0.027,1.035
0.016,-0.027,1.039
0.016,-0.027,1.039
0.012,-0.027,1.039
0.008,-0.027,1.043
0.012,-0.027,1.039
0.012,-0.023,1.035
0.016,-0.023,1.039
0.012,-0.023,1.039
0.012,-0.023,1.043
0.016,-0.027,1.039
0.023,-0.023,1.035
0.02,-0.023,1.031
0.008,-0.012,1.031
0.016,-0.02,1.031
0.016,-0.023,1.035
0.016,-0.023,1.035
0.012,-0.027,1.039
0.012,-0.027,1.043
0.008,-0.027,1.043
0.008,-0.027,1.043
0.008,-0.027,1.035
0.012,-0.027,1.039
0.012,-0.027,1.039
0.016,-0.027,1.039
0.012,-0.027,1.035
0.012,-0.027,1.039
0.012,-0.023,1.039
0.012,-0.023,1.039
0.012,-0.023,1.035
0.012,-0.023,1.035
0.012,-0.027,1.035
0.016,-0.023,1.035
0.016,-0.023,1.035
0.012,-0.023,1.031
0.012,-0.023,1.039
0.008,-0.023,1.035
0.012,-0.023,1.035
0.012,-0.023,1.035
0.012,-0.023,1.039
0.008,-0.027,1.035
0.012,-0.027,1.035
0.012,-0.027,1.031
0.012,-0.027,1.031
0.012,-0.023,1.035
0.012,-0.023,1.039
0.008,-0.023,1.039
0.008,-0.023,1.035
0.016,-0.023,1.039
0.012,-0.023,1.035
0.012,-0.023,1.035
0.016,-0.027,1.039
0.012,-0.023,1.039
0.008,-0.027,1.039
0.008,-0.023,1.039
0.012,-0.027,1.039
0.016,-0.023,1.035
0.016,-0.023,1.039
0.016,-0.023,1.039
0.012,-0.023,1.031
0.012,-0.027,1.035
0.008,-0.027,1.035
0.008,-0.027,1.031
0,-0.023,1.031
0.008,-0.031,1.039
0.008,-0.027,1.035
0.012,-0.027,1.035
0.012,-0.023,1.035
0.008,-0.027,1.035
0.012,-0.031,1.039
0.012,-0.027,1.039
0.012,-0.031,1.035
0.012,-0.027,1.039
0.012,-0.023,1.043
0.012,-0.023,1.043
0.012,-0.023,1.035
0.012,-0.023,1.031
0.012,-0.023,1.035
0.012,-0.023,1.035
0.012,-0.023,1.039
0.012,-0.023,1.043
0.012,-0.027,1.043
0.016,-0.023,1.043
0.012,-0.023,1.035
0.012,-0.023,1.031
0.012,-0.023,1.039
0.012,-0.023,1.035
0.012,-0.027,1.035
0.012,-0.027,1.039
0.012,-0.023,1.035
0.012,-0.023,1.035
0.012,-0.023,1.031
0.012,-0.023,1.039
0.012,-0.023,1.039
0.012,-0.023,1.031
0.016,-0.023,1.039
0.012,-0.023,1.039
0.012,-0.023,1.039
0.012,-0.023,1.039
0.012,-0.023,1.035
0.012,-0.035,1.035
0.012,-0.02,1.031
0.016,-0.031,1.031
0.012,-0.027,1.031
0.016,-0.023,1.039
0.016,-0.023,1.039
0.012,-0.027,1.039
0.012,-0.027,1.039
0.012,-0.027,1.039
0.008,-0.027,1.035
0.012,-0.023,1.035
0.02,0,1.043
0.004,0.055,1.043
-0.004,0.109,1.043
0.008,0.105,1.039
0.012,0.082,1.027
0.012,0.086,1.035
-0.02,0.086,1.035
-0.027,0.086,1.055
-0.016,0.063,1.035
-0.008,0.039,1.027
0.039,0.027,1.027
0.035,-0.027,1.043
0.039,-0.02,1.031
0.012,-0.043,1.055
0.035,-0.125,1.039
0.063,-0.129,1.023
0.09,-0.086,1.039
0.051,-0.031,1.027
0.031,-0.023,1.047
0.07,-0.031,1.035
0.039,-0.07,1.031
-0.086,0.109,1.035
-0.027,0.172,1.059
0,0.086,1.031
0.008,0.156,1
0.008,0.145,1.031
0.016,0.09,1.051
0.012,0.086,1.004
0.008,0.047,1.039
0.004,0.059,1.012
0.02,-0.012,1.027
0.027,-0.047,1.055
0.023,-0.07,1.047
0.008,-0.055,1.035
0.008,0.086,1.051
0.008,-0.027,1.063
0,-0.066,1.008
0.016,-0.02,1.07
0.016,-0.031,1.031
0.012,-0.055,1.059
0.023,0.027,1.055
0.02,-0.016,1.02
0.012,-0.16,1.051
0.004,0.008,1.031
0.016,0.02,1.039
0.016,-0.008,1.039
0.004,-0.043,1.027
0.012,-0.051,1.047
0.016,-0.051,1.031
0.008,0,1.047
0.02,0.027,1.051
0.012,-0.02,1.063
-0.012,-0.059,1.035
0.008,-0.105,1.035
0.02,-0.078,1.039
0.023,-0.047,1.039
0.012,-0.023,1.027
0.012,0.027,1.035
0.008,0.039,1.031
0.004,0.07,1.047
0.004,-0.043,1.043
0.016,0.059,1.035
0.02,0.02,1.039
0.008,0.012,1.035
0.02,-0.039,1.043
0.016,-0.035,1.023
0.008,-0.016,1.027
0.008,-0.031,1.035
0.012,-0.039,1.031
0.008,0.004,1.047
0.004,-0.023,1.051
0.016,-0.063,1.004
0.016,-0.043,1.043
-0.004,-0.004,1.027
0.016,-0.074,1.047
0.012,-0.008,1.023
0.008,0,1.016
0.008,-0.012,1.031
0.02,-0.035,1.031
0.016,0.035,1.043
-0.008,0.078,1.043
0.027,-0.094,1.035
0.027,-0.066,1.031
0.004,0.039,1.027
0.008,-0.004,1.035
0.016,-0.012,1.059
0.016,0.008,1.027
0.008,-0.035,1.027
0.008,-0.063,1.059
0.008,-0.063,1.051
-0.004,-0.098,1.02
0.012,-0.125,1.09
0.012,-0.027,1.043
0.012,-0.035,1.008
0.012,-0.066,1.012
0.012,-0.039,1.059
0.008,-0.02,1.039
-0.004,0.004,1.035
0.012,-0.012,1.027
0.02,-0.055,1.031
0.012,-0.008,1.023
0.008,-0.02,1.031
0.004,-0.031,1.051
0,-0.047,1.035
0.012,-0.051,1.047
0,-0.039,1.043
0.004,-0.035,1.027
0.023,-0.07,1.035
0.027,-0.082,1.063
-0.008,0.004,1.023
0.004,-0.039,1.027
0.008,-0.055,1.066
0.008,-0.023,1.023
0.012,-0.047,1
0.008,-0.051,1.023
0,0.012,1.047
0.008,0.004,1.043
0.02,-0.027,1.035
0.016,-0.016,1.047
0.016,-0.023,1.051
0.016,-0.051,1.035
0.012,-0.078,1.035
0.008,-0.086,1.035
0.012,-0.055,1.031
0.012,-0.055,1.039
0.012,-0.047,1.039
0.008,-0.066,1.039
0.004,-0.07,1.031
0.004,-0.043,1.027
0.016,-0.055,1.031
0.012,-0.043,1.039
0.016,-0.055,1.039
0.016,-0.059,1.023
0.016,-0.047,1.02
0.016,-0.031,1.043
0.012,-0.004,1.051
0.012,0.016,1.035
0.008,0.004,1.047
0.008,0,1.031
0.012,-0.027,1.031
0.008,-0.02,1.031
0.008,-0.012,1.031
0.008,-0.012,1.031
0.004,0.02,1.027
0.004,-0.027,1.023
0.012,-0.031,1.035
0.008,-0.012,1.035
0.012,0.008,1.035
0.012,-0.004,1.031
0.012,-0.043,1.039
0.004,-0.008,1.035
0.016,-0.043,1.047
0,-0.016,1.02
0.004,-0.031,1.035
0.004,-0.043,1.031
0.008,-0.023,1.035
0.008,-0.008,1.031
0.016,-0.004,1.027
0.012,0.012,1.035
0.012,0.02,1.039
0.012,0.02,1.047
0.008,0.016,1.031
0.004,0.004,1.039
0.012,0.012,1.031
0.012,-0.008,1.027
0.016,-0.031,1.035
0.012,-0.043,1.031
0.008,-0.035,1.031
0.012,-0.027,1.051
0.008,-0.031,1.063
0.008,-0.012,1.023
0.008,-0.035,1.047
0.012,-0.047,1.012
0.008,-0.035,1.035
0.012,-0.047,1.031
0.012,-0.043,1.039
0.008,-0.047,1.039
0.004,-0.039,1.027
0.012,-0.059,1.035
0.008,-0.043,1.031
0.012,-0.043,1.035
0.012,-0.051,1.035
0.008,-0.051,1.031
0.012,-0.039,1.031
0.004,-0.027,1.039
0.004,-0.016,1.047
0.016,-0.023,1.031
0.012,-0.02,1.027
0.008,-0.043,1.027
0.008,-0.063,1.031
0.008,-0.082,1.039
0.008,-0.086,1.039
0.008,-0.09,1.039
0.008,-0.059,1.035
0.008,-0.035,1.039
0.008,-0.027,1.031
0.008,-0.023,1.031
0.008,-0.02,1.031
0.012,-0.016,1.035
0.016,-0.012,1.035
-0.012,0.063,1.035
0.008,0.043,1.031
-0.012,0.02,1.039
0.008,-0.004,1.027
0,0.027,1.031
-0.004,0.051,1.039
0.004,0.031,1.039
0.031,-0.031,1.043
0.02,-0.047,1.039
0.027,-0.066,1.031
0.027,-0.098,1.035
0,-0.082,1.043
-0.008,-0.07,1.043
0,-0.043,1.043
0.004,-0.027,1.043
0.008,-0.02,1.043
-0.004,-0.035,1.043
-0.008,-0.039,1.031
-0.016,-0.047,1.027
-0.023,-0.066,1.035
-0.027,-0.07,1.043
-0.02,-0.086,1.074
0.055,-0.027,1.137
-0.008,-0.023,1.203
0.168,-0.391,0.809
0.086,-0.305,0.793
-0.027,-0.09,1.063
-0.031,-0.004,1.098
0.012,-0.039,1.105
0.012,-0.074,1.031
0.012,-0.051,1.023
0.016,-0.004,1.07
-0.008,0.078,1.035
-0.023,0.129,1.039
0,0.102,1.031
0.02,0.066,1.031
0.012,0.066,1.031
0.004,0.074,1.051
0.008,0.07,1.055
0.008,0.027,1.039
0.008,-0.043,1.039
0.012,-0.09,1.043
0.016,-0.105,1.023
0.02,-0.117,1.043
0.012,-0.105,1.031
0.004,-0.055,1.039
0.012,-0.035,1.016
0.016,-0.023,1.043
0.012,-0.023,1.035
0.012,-0.016,1.012
0.012,-0.027,1.039
0.016,-0.047,1.039
0,-0.051,1.039
0.004,-0.078,1.047
0.012,-0.09,1.027
0.008,-0.047,1.039
0.012,-0.043,1.039
0,-0.07,1.051
0.008,-0.039,1.031
0.012,-0.004,1.02
0.023,0.027,1.043
0.016,0.047,1.043
0.02,0.02,1.035
0.023,-0.031,1.047
0.016,-0.027,1.02
0.027,-0.039,1.055
0.023,-0.047,1.051
0.012,-0.047,1.035
0.02,-0.047,1.031
0.02,-0.012,1.02
0.012,0.012,1.027
0.008,0.027,1.031
0.012,0.027,1.047
0.02,0.016,1.039
0.012,0.004,1.039
0.02,-0.027,1.035
0.008,-0.039,1.023
0.004,-0.027,1.051
0.023,-0.035,1.047
0.016,-0.055,1.047
0,-0.043,1.051
0.023,-0.031,1.039
0.027,-0.059,1.027
0.016,-0.063,1.031
0,-0.059,1.035
0.008,-0.035,1.039
0,0.023,1.031
0.016,0.051,1.035
0.027,0.023,1.035
0.035,-0.027,1.027
0.012,-0.008,1.039
-0.008,0.02,1.039
-0.004,0.031,1.035
0.031,-0.035,1.035
0.051,-0.125,1.035
0.016,-0.063,1.027
-0.016,-0.012,1.043
-0.023,0.023,1.039
0.027,-0.02,1.031
0.023,-0.004,1.043
0.023,-0.008,1.031
0,0.039,1.039
0.02,0.004,1.031
0.039,-0.035,1.031
-0.012,0.059,1.031
-0.004,0.066,1.035
0.012,0.039,1.043
0.012,0.02,1.039
-0.004,0.012,1.035
0.027,-0.043,1.031
-0.016,0.004,1.031
-0.016,-0.004,1.039
0.035,-0.07,1.031
-0.016,-0.016,1.047
-0.027,0.035,1.035
0.059,-0.07,1.027
0.051,-0.082,1.035
0.02,-0.031,1.039
0.027,-0.023,1.035
-0.023,0.074,1.027
0.004,0.059,1.035
0.063,-0.031,1.027
0.035,-0.059,1.039
-0.008,-0.008,1.043
0.031,-0.035,1.035
-0.02,0.027,1.031
-0.016,0.043,1.039
0.043,-0.039,1.043
0.027,-0.035,1.035
0.004,0.008,1.027
0.023,-0.02,1.027
-0.004,0.035,1.035
0.016,-0.004,1.027
0.008,-0.02,1.031
0.035,-0.094,1.035
0.02,-0.078,1.031
0.004,-0.023,1.031
-0.016,0,1.027
-0.02,0.035,1.039
0.016,-0.004,1.035
0.051,-0.043,1.031
0.027,-0.051,1.035
0.004,-0.016,1.031
-0.012,0.004,1.039
-0.008,0.004,1.031
0.012,-0.055,1.035
0.027,-0.09,1.031
0.035,-0.09,1.043
-0.004,-0.023,1.039
-0.012,0.023,1.043
-0.004,0,1.043
0.016,-0.047,1.031
0.035,-0.098,1.031
0.008,-0.039,1.043
0.035,-0.098,1.043
-0.031,0.004,1.031
0.039,-0.066,1.02
0.023,-0.078,1.047
0.016,-0.035,1.031
-0.008,0.004,1.039
0.012,-0.012,1.035
0.039,-0.055,1.035
