------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.1 date format M/d/yy at 100 Hz  Filter Normal -----------
Serial Number: TAS1F27170050
Start Time 16:07:00
Start Date 8/1/18
Epoch Period (hh:mm:ss) 00:00:00
Download Time 16:09:26
Download Date 8/1/18
Current Memory Address: 0
Current Battery Voltage: 4.12     Mode = 12
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
-0.012,0.004,1.012
0.012,0.004,1.023
0.02,0,1.023
0.02,0,1.023
0.023,0,1.023
0.016,0,1.023
0.016,0,1.023
0.02,-0.004,1.031
0.016,-0.004,1.031
0.012,-0.004,1.023
0.016,-0.004,1.031
0.016,-0.004,1.031
0.02,0,1.027
0.02,0,1.023
0.016,0,1.027
0.02,0,1.023
0.02,0,1.023
0.02,-0.004,1.023
0.016,0,1.027
0.02,0,1.027
0.023,0,1.031
0.023,0,1.027
0.023,0,1.027
0.016,0,1.031
0.012,0,1.027
0.012,-0.008,1.023
0.016,-0.004,1.023
0.012,0,1.027
0.016,0,1.031
0.016,0,1.031
0.016,0,1.027
0.008,-0.004,1.027
0.008,0,1.023
0.012,0,1.023
0.008,0,1.023
0.016,0,1.027
0.016,0,1.023
0.016,0,1.027
0.023,0,1.027
0.023,0,1.027
0.02,0,1.031
0.02,0,1.027
0.016,0,1.027
0.012,0,1.027
0.016,0,1.031
0.02,0,1.023
0.02,0,1.027
0.016,0,1.027
0.016,0,1.023
0.016,0,1.027
0.008,0,1.027
0.016,-0.004,1.035
0.02,-0.004,1.031
0.016,0,1.027
0.012,0,1.031
0.012,0,1.027
0.016,0,1.031
0.016,0,1.035
0.016,0,1.035
0.016,0,1.035
0.012,-0.004,1.035
0.012,-0.004,1.031
0.012,-0.004,1.031
0.016,0,1.027
0.016,0,1.027
0.016,0,1.027
0.016,-0.004,1.027
0.016,0,1.027
0.016,0,1.027
0.016,0,1.023
0.012,0,1.023
0.012,-0.004,1.031
0.02,0,1.031
0.023,0,1.027
0.02,-0.004,1.027
0.02,0,1.027
0.02,0,1.027
0.016,0,1.031
0.02,-0.004,1.027
0.02,0,1.023
0.02,0,1.027
0.016,0,1.027
0.012,-0.004,1.023
0.016,0,1.023
0.016,0,1.027
0.016,0,1.031
0.016,0,1.027
0.012,0,1.027
0.016,0,1.027
0.02,0,1.027
0.02,0,1.027
0.02,0,1.023
0.02,0,1.023
0.02,0,1.027
0.023,0,1.031
0.02,-0.004,1.031
0.016,-0.004,1.031
0.016,-0.004,1.031
0.016,0,1.031
0.012,0,1.027
0,0,1.023
0.012,-0.004,1.031
0.016,0,1.031
0.012,0,1.027
0.012,0,1.027
0.012,0,1.031
